JoeMcHugh	Minister of State at the Department of the Taoiseach (Deputy Joe McHugh)	2002-09-12	None	No.
JoeMcHugh	Minister of State at the Department of Culture, Heritage and the Gaeltacht	2002-09-12	None	I gcomhréir leis na spriocanna sonracha atá leagtha síos i gClár an Rialtais Comhpháirtíochta agus i ráiteas straitéise na Roinne, is iad na príomhthosaíochtaí atá agam dom Ghaeilge agus an Ghaeltacht do 2018 ná forfheidhmhiú na Straitéise 20 Bliain don Ghaeilge a chur chun cinn; an próiseas pleanála teanga a bhrú ar aghaidh; tacú le fostaíocht a chruthú agus a chur chun cinn sa Ghaeltacht trí Údarás na Gaeltachta; tacú leis an Ghaeilge a chur chun cinn ar fud oileán na hÉireann trí Fhoras na Gaeilge, tacú leis an bpróiseas chun deireadh a chuir leis an maolú ar úsáid na Gaeilge san Aontas Eorpach; agus Bille na dTeangacha Oifigiúla (Leasú) 2017 a achtú. Ar ndóigh, tá an Straitéis 20 Bliain don Ghaeilge fite fuaite le gníomhaíochtaí mo Roinne thar na réimsí Gaeilge agus Gaeltachta go léir agus beidh sé mar chéad thosaíocht agamsa an straitéis sin a chur i bhfeidhm i gcomhar leis na páirtithe leasmhara. Ní gá a rá go bhfuil an próiseas pleanála teanga agus feidhmiú pleananna teanga sa Ghaeltacht mar chuid lárnach d’fheidhmiú na straitéise.  Maidir le feidhmiú na straitéise, ní miste dom a mheabhrú don Teachta go bhfuil i gceist ag mo Roinn plean gníomhaíochta don tréimhse 2017-2022 a fhoilsiú faoi dheireadh an fhómhair. Le foilsiú an phlean seo, beifear ag súil go dtabharfaí aghaidh ar na rudaí is tábhachtaí mar a aithneofar iad sa phlean cúig bliana agus go nglacfaidh gach páirtí go fonnmhar leis an deis a gcionn a dhéanamh ar son na straitéise. Maidir le cúrsaí buiséid, ní miste dom a mheabhrú don Teachta gur tríd an phróiseas Meastacháin agus cáinaisnéise a dhéantar leithdháileadh ar an soláthar airgid a chuirtear ar fáil ar bhonn bliantúil do mo Roinn agus, go deimhin, do na Ranna Rialtais go léir. Sa chomhthéacs sin, tuigfidh an Teachta go ndéanfar an soláthar airgid don Ghaeilge agus don Ghaeltacht ón Státchiste don bhliain 2018 a mheas i gcomhthéacs an phróisis sin níos déanaí i mbliana.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Maidir leis an ngeallúint ar dtús, rinneadh comhoibriú ar an bplean idir Fhianna Fáil agus Fhine Gael. Ag an am sin, nuair a bhí an cómhrá ag dul ar aghaidh, rinneadh gealltanais maidir le méadú a dhéanamh ar an infheistíocht ag dul isteach in Údarás na Gaeltachta, mar shampla. Mar atá a fhios ag an Teachta, thar na blianta bhí go leor airgid ar fáil faoi choinne Údaras na Gaeltachta ó thaobh caipitil, suas le €26 milliún ag an am nuair a bhí an Teachta Ó Cuív freagrach as an Roinn. Ach tá an saol difriúil anois. Níl an t-airgead sin ar fáil. Nuair atáim ag caint le mo chomhghleacaithe ar an dá taobh den Teach tá siad i gcónaí ag rá go bhfuil infheistíocht de dhíth faoi choinne na coláistí samhraidh nó caipiteal d'Údarás na Gaeltachta agus go bhfuil airgead breise faoi choinne pleanála teanga, cúntóirí teanga agus araile de dhíth freisin. Tá sé mar a chéile in achan Roinn, ach níl an buiséad déanta faoi láthair. Bhí comhrá agam leis an Aire, an Teachta Donohoe, agus beidh comhrá agam leis roimh an bhuiséad. Ní bheidh aon rud déanta maidir leis sin.Feicim na féidearthachtaí, áfach, maidir leis an airgead breise fá choinne fostaíocht a chruthú agus an teanga a chur chun cinn.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Aontaím nach mbeidh an Teachta ag fáil an figiúir inniu. Cuirim fáilte roimh an chóras sin. Ceapadh mise i mo Aire Stáit in 2014 agus sin an chéad am a bhí airgead breise ar fáil fá choinne an bhuiséad caipitil d'Údarás na Gaeltachta. Tá mé ag súil leis an lá a bheidh airgead breise ann achan bhliain. Níl mise chun figiúir a rá inniu ach tá mé ag bogadh ar aghaidh le hacmhainní breise a fháil fá choinne poist a chruthú sna ceantair iargúlta Gaeltachta i gContae Chiarraí, Contae Chorcaí, Contae na Gaillimhe - ceantar an Teachta féin - Contae Dhún na nGall agus ceantair éagsúla eile Gaeltachta. Ar leibhéal amháin, feicim na deacrachtaí ach feicim na deiseanna agus na féidearthachtaí fosta. Gabhaim mo bhuíochas agus m'aitheantas leis na daoine a bhíonn ag obair ar son na Gaeilge agus na Gaeltachta. Rud dearfach é sin, ach, cinnte, tá acmhainní de dhíth amach anseo.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Gabhaim mo bhuíochas leis an Teachta as an cheist. Chun cabhrú le feidhmiú an phróisis pleanála teanga sa bhliain reatha, d'fhógair mo Roinn i mí Aibreáin na bliana seo go bhfuil allúntas ar fiú €850,000 in iomlán á chur ar fáil ag an Roinn chun cabhrú le feidhmiú an phróisis pleanála teanga i mbliana. Den allúntas seo, tá €735,000 curtha ar fáil d'Údarás na Gaeltachta agus €115,000 curtha ar fáil d'Fhoras na Gaeilge le gur féidir leo cuidiú leis na heagraíochtaí pleanála teanga atá faoina gcúram lena gcuid pleananna a ullmhú agus a fheidhmiú. Mar chuid den allúntas sin, tá ciste ar fiú suas le €100,000 thar tréimhse 12 mhí iomlán le bheith ar fáil i leith gach limistéir ina cheadaítear plean teanga chun tús a chur le feidhmiú na bpleananna sin. Ag brath ar mhianta agus riachtanais an limistéir i gceist, beidh sé curtha ar chumas na gceanneagraíochtaí oifigeach pleanála teanga a fhostú ón gciste seo chun cabhrú le feidhmiú a bpleananna. Ina theannta sin, beifear in ann leas a bhaint as an gciste chun cúram a dhéanamh de bhearta na bpleananna féin, i gcomthéacs na dtosaíochtaí mar a aithnítear iad go háitiúil. Beidh Údarás na Gaeltachta ag déanamh teagmhála leis na ceanneagraíochtaí i gceist go luath chun na socruithe cuí a dhéanamh agus tús a chur dá réir le feidhmiú pleananna sa Ghaeltacht. Ós rud é go mbeidh gá cúram a dhéanamh de 26 limistéar pleanála teanga, suas le 16 de bhailte seirbhíse Gaeltachta agus trí líonra Gaeilge mar a sheasann rudaí faoi láthair, tuigfidh an Teachta go mbeidh gá an soláthair airgid a bheidh curtha ar fail ón Státchiste a bhainistiú mar is cuí le go mbeifear ag obair i dtreo an toradh is fearr is féidir a bhaint amach don Ghaeilge. Comhthreomhar leis an infheistíocht phleanála teanga, cuimhnímis chomh maith go bhfuil infheistíocht shuntasach á déanamh i gcaitheamh an ama ag an Roinn, ag an údarás agus ag an bhforas araon i réimse leathan clár, scéimeanna, tionscnaimh agus bearta atá agus a bheidh ag tacú leis an nGaeilge agus go rachaidh sé seo chun sochair an phróisis sna ceantair i gceist. Is féidir leis an Teachta a bheith cinnte de go leanfaidh mé orm mar Aire Stáit ag déanamh mo sheacht ndícheall chun an cion is fearr is féidir a fháil ón Státchiste chun tacú le chur chun cinn na Gaeilge agus na Gaeltachta a bhfuil an próiseas pleanála mar chuid lárnach de.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Airgead breise i gcónaí. Sin an scéal agus sin an díospóireacht i gcónaí maidir leis an teanga. In 2012, bhí an gealltanas ann maidir leis an reachtaíocht agus na pleananna teanga. Rinne Dinny McGinley fíor-iarracht fá dtaobh den reachtaíocht ansin. Sin an fhís. Rinne an Teachta tagairt do na ceantair: Ghaoth Dobhair, Anagaire, Loch an Iúir, Rann na Feirste, Cloich Chionnaola, An Fál Carrach, Machaire Rabhartaigh agus Gort an Choirce agus, i gContae na Gaillimhe, Cois Fharraige. Seo tús an phróisis. Tá €300,000 ar fail fá choinne an tús sin a chur i gcrích. Tá na daoine uilig ag fáil suimeanna difriúla. I nGaoth Dobhair, tá siad ag fáil €436,000. I nGaillimh, tá cúpla grúpa ag fáil €200,000 agus €50,000. Tá mise ag amharc ar an bhealach is féaráilte dó seo lastigh den tréimhse 12 mhí. Sin an cloch is mó ar mo phaidrín. Amach anseo beidh bealaí difriúla agus buiséid difriúla ann agus beidh airgead breise ann ó na Ranna difriúla fosta. Níl Roinn na Gaeltachta an t-aon Roinn atá freagrach as an teanga. Tá a fhios ag an Teachta é sin.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	An bealach is féaráilte ná bealach ina bheidh achan dream clúdaithe. Tá ceart ag an Teachta maidir leis na pleananna difriúla. Oibríonn na pleananna ón mbun aníos agus tá na daoine agus na dreamanna uilig sna ceantair freagrach as na pleananna. Tá sé sin tábhachtach. Níl a fhios agam cad a tharlóidh amach anseo maidir leis an tacaíocht nó an cuidiú a bheidh ar fáil. É sin ráite, in 2014 nuair a tháinig an tAire sinsearach, an Teachta Humphreys, agus mé féin isteach sa Roinn, ní raibh aon laghdú ann. Táimid ag dul ar aghaidh agus ó neart go neart leis an airgead breise atá ar fáil. Ní haontaím go bhfuil an tír ina ceart anois. Ní bheidh breis airgead ar fáil sa bhuiséad seo. Achan cheist a fuair mise nuair a tháinig mé ar ais i mí Mheán Fómhair, bhí na daoine uilig ag iarraidh airgid agus acmhainní breise. Tá sé sin tábhachtach agus is é sin mo jab, agus tá dualgas mór orm maidir le hairgead a fháil. Déanfaidh mé mo sheacht ndícheall fá dtaobh de sin. Leis na pleananna teanga, áfach, is é an príomhrud ná an tús atá leo. Tá siad tosaithe anois agus is iad na dreamanna áitiúla atá freagrach as na pleananna sin.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Chuir an Teachta an cheist trí Ghaeilge. Bhí a fhios aige go mbeadh an freagra trí-----
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Táimse freagrach as an teanga, as an Ghaeltacht agus as na hoileáin.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Bhí an ceist agam, agus tá sí agamsa.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Ní fadhb í.
