JoeMcHugh	Minister of State at the Department of the Taoiseach (Deputy Joe McHugh)	2002-09-12	None	No.
JoeMcHugh	Minister of State at the Department of Culture, Heritage and the Gaeltacht (Deputy Joe McHugh)	2002-09-12	None	Gabhaim buíochas leis an Teachta faoi choinne na ceiste. Tá muid ag pointe difriúil anois i saol eacnamaíochta na tíre seo ná mar a bhíomar nuair a foilsíodh Athrú Mór ar Éirinn, nó Transforming Ireland, in 2007, plean nár cuireadh i bhfeidhm go hiomlán de bharr na géarchéime eacnamaíochta. Faoi Thionscadal Éireann 2040, déanfar cúram d’fhás inmharthanach agus rath na hÉireann agus cuirfear béim faoi leith ar an uathúlacht a bhaineann le cultúr saibhir na hÉireann agus a thábhachtaí atá sé é a chaomhnú agus a chothú. Ar ndóigh, tá an Ghaeilge mar chuid lárnach den chultúr sin agus tá tábhacht faoi leith ag an nGaeltacht mar fhearann dúchais na Gaeilge. Beifear ag féachaint chuige, mar sin, go dtapaítear gach deis chun go n-aithnítear é sin mar is cuí. I mí Aibreáin na bliana seo, foilsíodh "Infheistíocht inár gCultúr, inár dTeanga agus inár nOidhreacht 2018-2027", plean na Roinne Cultúir, Oidhreachta agus Gaeltachta faoi Thionscadal Éireann 2040. Tá beartaithe sa phlean seo go ndéanfaidh an Rialtas infheistíocht chaipitil de €178 milliún sa Ghaeilge, sa Ghaeltacht agus sna hoileáin as seo go ceann deich mbliana. Clúdaíonn sé seo: infheistíocht de €105 milliún ag Údarás na Gaeltachta i gcruthú fostaíochta; infheistíocht de €33 milliún mar bhuntaca don phróiseas pleanála teanga; infheistíocht de €13 milliún i líonraí Gaeilge agus i mbailte seirbhíse Gaeltachta; agus infheistíocht de €27 milliún in infreastruchtúr na n-oileán. Is plean meáite é Tionscadal Éireann 2040 agus an tír seo ag teacht chuici féin tar éis blianta de chiorruithe. Is méadú de thart ar 78% é an €178 milliún atá luaite leis an bplean ar an allúntas a bheifí ag súil leis thar thréimhse deich mbliana dá mbainfí úsáid as allúntas 2018 mar bhunlíne. 
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Tuigim an cheist. Tá figiúir difriúil ann ó 2007. Bhí an t-am thar a bheith difriúil. Bhí an t-airgead ag fás ar na crainn ag an am sin.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Níl an Teachta Ó Cuív ag cur na ceiste orm. Tá plean forbartha don Ghaeltacht agus do na hoileáin againn anois. Mar shampla, beimid ag brú ar aghaidh leis an uasghrádú ar roinnt príomhchampas de chuid na coláistí samhraidh Gaeilge. Meallann na tionscadail sin os cionn 26,000 scoláirí chun na Gaeltachta achan bhliain. Mar shampla eile, táimid ag soláthar saoráidí tacaíochta teanga agus cúrám leanaí a bheidh suite in áiteanna straitéiseacha. Beidh oifigí nua ann do chomharchumainn agus saoráidí pobail ar Inis Meáin. Tá cúpla sampla eile - síneadh le Cé Inis Oírr lena n-airítear tonnchosc, oibrithe ar Ché Inis Meáin, uasghradú ar Ché Mhachaire Rabhartaigh a dhéanfaidh freastal ar Thóraigh, agus rudaí faoi leith do Thóraigh fosta. Cúpla sampla iad sin. Tá an t-am atá ann anois difriúil ón am a bhí ann in 2007.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Ní thuigeann an Teachta an freagra.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Tuigim an cheist. Tá an figiúr difriúil. B'fhéidir nach bhfuil a fhios ag an Teachta ach níor chuir muid an plean i bhfeidhm in 2007. Ní raibh an t-airgead ar fáil. Bhí an ghéarchéim ag teacht ag an am agus d'athraíodh an plean sin a bhí socraithe. Níor chuir an Rialtas an plean i bhfeidhm ag an am sin. Ní raibh muid ábalta an gealltanas a thug an Rialtas ag an am sin in 2007 a chur i bhfeidhm mar ní raibh an t-airgead ar fáil. Ach anois, céim ar chéim, tá cúrsaí eacnamaíochta ag bogadh ar aghaidh. Beidh airgead breise ar fáil. Dá mbeadh airgead breise ar fáil faoi choinne infreastrúchtúir nó pleanála teanga ba mise an fear a chaithfeadh an t-airgead. Tá sé difriúil anois ó 2007. Ní bheidh mé ag déanamh gealltanais cosúil leis an cheann a rinneadh.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Ar bhonn an cheist a fuair mise, maidir le staid reatha an phróisis pleanála teanga trí chéile ó thaobh na Gaeltachta de, tá an próiseas idir lámha i ngach aon cheann den 26 limistéar pleanála teanga Gaeltachta faoi láthair. Tá ocht bplean teanga ceadaithe faoin bpróiseas go dáta. Is iad na limistéir atá ceadaithe ná: Cois Fharraige; Gaoth Dobhair, Rann na Feirste, Anagaire agus Loch an Iúir; Cloch Chionaola, Gort an Choirce, An Fál Carrach agus Machaire Rabhartaigh; Na Déise; Muscraí; Ciarraí theas; Dúiche Sheoigheach agus Tuar Mhic Éadaigh; agus Ciarraí thiar. Tá na ceanneagraíochtaí sna limistéir seo i mbun ullmhúchán chun na pleananna a chur i bhfeidhm dá réir, i gcomhar le hÚdarás na Gaeltachta. Tá pleananna teanga á mbreithniú ag mo Roinn faoi láthair i leith an ceithre limistéar a leanas: An Cheathrú Rua; Maigh Eo thuaidh; Árainn Mhór; agus Conamara láir. Lena chois sin táthar ag súil leis go mbeidh pleananna i leith an sé limistéar a leanas á gcur faoi bhráid na Roinne ag Údarás na Gaeltachta idir seo agus deireadh na bliana: Ceantar na nOileán; Ráth Chairn agus Baile Ghib; Dún na nGall theas; Tóraigh; tuaisceart Dhún na nGall; agus Oileán Árann.  Ceaptar go mbeidh pleananna teanga i leith an naoi gceantar eile atá i gceist curtha faoi bhráid mo Roinne chun críche faofa roimh 2020. Maidir leis na bailte seirbhíse Gaeltachta, a bhí san áireamh sa cheist a chur an Teachta, tá ullmhúchán pleananna ar siúl faoi láthair i leith: Daingean Uí Chúis; An Clochán Liath; cathair na Gaillimhe; cathair Chorcaí; Leitir Ceanainn; Trá Lí agus Dún Garbháin. Maidir leis na líonraí Gaeilge, tá ullmhúchán pleananna idir lámha i leith Cluain Dolcáin, Inis agus Baile Locha Riach. Mar a bhaineann sé le 2018, tá allúntas ar fiú €2.65 milliún curtha ar fáil faoin gciste sa bhliain reatha. Bainfear úsáid as an gciste seo chun na rudaí seo a leanas a dhéanamh go príomha: leanúint le tacaíocht a chur ar fáil mar a bhaineann sé le hullmhúchán pleananna; agus allúntas ar bhonn limistéir pleanála teanga Gaeltachta, ar fiú suas le €100,000 go bliantúil a chur ar fáil chun tacú le feidhmiú pleananna faofa. 
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Go raibh míle maith agat. Tá Foras na Gaeilge freagrach as na pleananna teanga taobh amuigh den Ghaeltacht agus tá Údarás na Gaeltachta freagrach as na pleananna teanga a chur i bhfeidhm le pobal na Gaeltachta laistigh den Ghaeltacht, mar a bhfuil a fhios ag an Teachta. Ní bheidh mise nó an Roinn freagrach as an airgead a ghabháil díreach chuig na grúpaí éagsúla. Táim ag fanacht ar na billí ó Údarás na Gaeltachta agus Foras na Gaeilge, dá bharr níl a fhios agam inniu cé mhéad a bheidh i gceist. B'shin an fáth leis seo. Thug mé gealltanas €2.6 milliún a thabhairt d’Údarás na Gaeltachta, d’Fhoras na Gaeilge agus do phobal na Gaeilge laistigh den Ghaeltacht agus lasmuigh den Ghaeltacht, agus tá €2.6 milliún ar fáil i mbliana fa choinne na pleananna teanga a chur i bhfeidhm. Anois tá ocht díobh ag bogadh ar aghaidh laistigh den Ghaeltacht, mar a bhfuil a fhios ag an Teachta, agus idir €100,000 agus €150,000 i gceist le haghaidh dreamanna difriúla. Anois táim ag fanacht-----
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Cúig-----
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Níl na sonraí agam inniu i dtaobh an cheangail idir Fhoras na Gaeilge, an Roinn agus Údarás na Gaeltachta maidir leis an airgead a bhí i gceist i dtaobh na mbillí ach bheinn sásta na sonraí sin a fháil amach agus é sin a dhéanamh don Teachta. D'ardaigh an Teachta ceist i dtaobh na difríochta idir €100,000 agus €150,000 fosta agus tá an ceart ag an Teachta. Bhí conspóidí móra ag an am a sheolamar an plean. Bhí €100,000 i gceist agus d'athraigh mé le linn dom comhrá a bheith agam faoi ag an am agus bhí coimhlintí ollmhóra idir phobail na Gaeltachta agus Roinn na Gaeltachta. Ba iad na daonraí láidre agus an tíreolaíocht láidir na príomh-spriocanna agus na coinníollacha ba chúis leis an rogha a dhéanamh faoi cén dream agus cén limistéar pleanála teanga a bheadh ag fáil an t-airgead breise. Maidir leis an gceist i dtaobh sonraí na mbillí a bheidh ag teacht ó Fhoras na Gaeilge agus Údarás na Gaeltachta, beidh mé sásta na sonraí sin a fháil agus beidh mé i dteagmháil leis an Teachta.
JoeMcHugh	Minister of State at the Department of Culture, Heritage and the Gaeltacht (Deputy Joe McHugh)	2002-09-12	None	Tugann mo Roinn cuireadh bliantúil do chomhairlí chontae a bhfuil oileáin faoina gcúram iarratas a chur chuici ar chomh-mhaoiniú do thograí mionoibreacha ar na hoileáin úd. Níos túisce i mbliana, rinne mo Roinn amhlaidh d'fhonn clár a cheadú do 2018. Tá na hiarratais á cuireadh chuici á meas ag mo Roinn faoi láthair. Is buiséad caipitil de €1.344 milliún san iomlán atá ar fáil don Roinn i mbliana do thograí oileán. Nuair a chuirtear maoiniú do mhórthogra forbairt Ché Inis Oírr san áireamh, meastar go mbeidh thart ar €1 mhilliún ar fáil le cur i dtreo mionoibreacha i mbliana.
