#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	0	The Tánaiste will be aware that the Government has now entered its ninth year. If it runs for its full term, it will have been in office for ten years. That is a decade too long, characterised by a crisis in the health services, rampant crime and the fact that Ireland has become the most expensive country in Europe. This Government has been characterised most by its consistent litany of broken promises. This is an absolute scandal when it comes to carnage on the roads and the Government's ability to deal with transport services. For instance, does the Tánaiste recall the Government's promise in 1998 to roll out speed cameras nationally within two years? Does she realise that seven years later, only three out of 20 speed cameras in the greater Dublin area are in operation at any one time? Does the Tánaiste remember that the Government promised to make 69 offences liable to penalty points by the end of 2003? Does she realise that two years later, only three have actually been enacted? Is the Tánaiste aware that on average, only one garda in every Garda station has been trained in the use of breathalyser machines? Does she realise that the conviction rates between 2001 and 2003 have climbed significantly?The result of this inactivity and inability to cope by the Government is that, unfortunately, road deaths continue at a terrifyingly high rate. Already this year, 172 people have lost their lives on our roads, an increase of 12% on 2004. Of course driving behaviour is the responsibility of individuals, but if they believe they can get away with speeding, drunk driving or whatever, they feel safe in so doing. Can the Tánaiste offer any assurance that, almost ten years later, having given a litany of promises, the Government and the Minister will take some action to implement the litany of broken promises, which have resulted in road deaths continuing at a startlingly high rate? Is this not a complete failure on the part of the Government and the Ministers for the Environment, Heritage and Local Government and Transport to implement systems and standards which will ensure that all road users know they must be compliant in the interest of public safety?
#PadraicMcCormack	unknown-#PadraicMcCormack-party	unknown-#PadraicMcCormack-dob	unknown-#PadraicMcCormack-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	1	The Tánaiste has other things on her mind.
#MaryHarney	unknown-#MaryHarney-party	unknown-#MaryHarney-dob	unknown-#MaryHarney-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	2	I acknowledge that the Government has been in office for eight years. That is true and the Government was returned to office at the last election. However, if we reflect on those eight years, while we can see challenges and difficulties, equally we can see major progress in Ireland. For example, last year, this economy created 72,000 jobs. When the two Government parties came to office in 1997, the unemployment rate was 11% and there was still emigration. Today we have net immigration and an unemployment rate of 4%. When we took office in 1997, 1.5 million people were at work in Ireland while today, there are 1.9 million people at work. Undoubtedly, we have made enormous progress.
#BrendanHowlin	unknown-#BrendanHowlin-party	unknown-#BrendanHowlin-dob	unknown-#BrendanHowlin-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	3	People need jobs to live.
#MaryHarney	unknown-#MaryHarney-party	unknown-#MaryHarney-dob	unknown-#MaryHarney-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	4	One in every seven houses in the country was built in the last number of years. However, I must accept there are challenges, including in respect of the provision of infrastructure, in health care and in education.
#PadraicMcCormack	unknown-#PadraicMcCormack-party	unknown-#PadraicMcCormack-dob	unknown-#PadraicMcCormack-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	5	Definitely.
#FinianMcGrath	unknown-#FinianMcGrath-party	unknown-#FinianMcGrath-dob	unknown-#FinianMcGrath-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	6	In accident and emergency services.
#MaryHarney	unknown-#MaryHarney-party	unknown-#MaryHarney-dob	unknown-#MaryHarney-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	7	Yes, there are challenges in other areas. It is our job as a Government to deal with those challenges, which we will do.Specifically regarding road safety——
#EmmetStagg	unknown-#EmmetStagg-party	unknown-#EmmetStagg-dob	unknown-#EmmetStagg-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	8	The Government has had eight years to do it.
#BrendanHowlin	unknown-#BrendanHowlin-party	unknown-#BrendanHowlin-dob	unknown-#BrendanHowlin-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	9	What about Wexford General Hospital?
#JimOKeeffe	unknown-#JimOKeeffe-party	unknown-#JimOKeeffe-dob	unknown-#JimOKeeffe-constituency	speech	unkown-language	2005-06-15 00:00:00	Prelude	10	The Government should not take any credit for it.
