#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	0	The meeting has been convened for consideration of the Energy (Biofuel Obligation and Miscellaneous Provisions) Bill 2010 which was referred to the select committee by order of the Dáil on 12 November 2010.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	1	Amendments Nos. 1 to 4, inclusive, 11, 12, 17, 36 to 39, inclusive, are related and will be discussed together.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	2	I move amendment No. 1:
In page 6, between lines 13 and 14, to insert the following:" "bioethanol" shall only be deemed to constitute a biofuel in the case of ethylalcohol ex CN (Combined nomenclature) sub heading Taric code 2207 1000 with an alcohol content of at least 99 per cent volume the properties of which comply at least with the requirements set in document EN 15376:2007 by the EU Committee for Standardisation (CEN) or any subsequent revisions to this document;".There has already been significant debate on this matter.  I take the Minister's Second Stage point about the introduction of regulations after enactment and the time lags in notifications to the European Commission.  This amendment, however, is to lay down in the legislation a definitive move to stimulate local bio-fuel production.  The domestic bio-fuel industry has supported our amendments in this regard.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	3	Before we go into the amendments, will the Minister clarify if bio-gas is included in these definitions in section 3?
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	4	Under section 44B of the principal Act, it is intended to provide a gas-to-liquid conversion factor which would mean bio-gas would be covered by the legislation.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	5	I can see why these amendments have been grouped together but they are dealing with slightly different points.I support Deputy McManus's amendments but I understand why the Minister has difficulty with them.  He has proposed a compromise by which he can introduce new standards through ministerial order after the legislation is enacted.  There was much debate about this in the Seanad and on Second Stage in the Dáil.These amendments would reassure domestic bio-fuel producers that we are serious about legislating for quality assurances.  This is about ensuring we also give our domestic producers a competitive advantage through customs tariffs.I hope the Minister will accept my amendment No. 11 because it will not impact on his compromise.  Instead, it seeks to have the Minister consider the capacity of domestic producers to supply bio-fuel to meet domestic market demands when he is considering the percentage of blend required.  If he or any future Minister decides to increase to a 10% bio-fuel blend, then this provision will allow him to consider whether domestic producers could meet this demand.  That is a reasonable request which has not been forwarded by any lobbyists.Amendment No. 12 is similar to amendment No. 11 in that it seeks to have the Minister consider the various custom tariff policies and other national policies adopted by EU member states to promote domestic production of bio-fuels to supply market demand.Amendment No. 17 is in my and Deputy McManus's names.  It is essentially a compromise we hope the Minister will accept if he does not accept amendments Nos. 1 to 4, inclusive.  It simply provides for the Minister to use TARIC codes when considering quality and purity issues, particularly around ethanol.  The domestic industry needs some assurances in this regard.  Accepting this amendment will not weaken the legislation but provide a TARIC code framework for the way quality issues will be assessed.  It is a compromise amendment proposed by Ethanol Ireland and other domestic interest groups which believe it will strengthen their hand in this regard.Amendment No. 38 is more or less the same principle as amendment No.17, so I do not really need to address that because it is the same argument.  Amendment No. 37 introduces an element which needs to be spelt out somewhat more in the legislation.  I know the Minister on a personal level has strong views about this as it concerns security of supply issues.  This requires the Minister to have regard to a whole series of different things when determining future decisions relating to this legislation and it is introducing the provision that he must have regard to increasing the level of security of supply of transport fuels.  In the context of the debate we had in the Dáil two weeks ago on security of supply, that is something we should spell out in the legislation and I believe this is probably the appropriate place to insert it, unless the Minister can suggest a better place.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	6	My apologies for being so late.  I propose to take amendments Nos. 1 to 4, inclusive, 11, 12 and 36 to 39, inclusive, together.  On Committee Stage and Report Stage of the Bill in the Seanad the issue arose as regards specifying particular TARIC codes for ethanol under the obligation, on the basis that it would promote indigenous industry.  Having consulted with the Attorney General's office a new section 44X was added in order to provide power for the Minister to make an order specifying the fuel standards required in order for fuel to meet the obligation.  By introducing this section I will, once the Bill is enacted, be able to move to make a statutory instrument setting out the measure that is required around specifying a TARIC code and putting that through the notification procedure to the European Commission in due course.  By taking this course of action now, we are ensuring that there is no undue delay in progressing the legislative process and in bringing the obligation into force.The amendments tabled by the Deputies opposite, which bear a close resemblance to those put forward in the Seanad, are effectively already dealt with in this amendment.  As explained previously, there is little to be gained by specifying the precise standards required in primary legislation, as the flexibility around being able to adjust the standards on an ongoing basis is critical.I should also point out that IS EN15376 is already the relevant standard for ethanol in Ireland, and for this reason I do not propose to accept the Opposition's proposed amendments Nos. 1 to 4, inclusive, 11, 12, 17 and 36 to 39, inclusive.  Perhaps I should add to some of the comments made this morning.  I understand the motive and intent behind them and the various amendments tabled by the Opposition.One reason we want to specify TARIC codes by statutory instrument rather than in primary legislation is that we want flexibility and there may be other codes.  We could see down the line that it might not be a question of doing this on a TARIC code basis, and there could be an evolution of other codes or standards that we might need to set out within a statutory instrument.  Therefore, if we are to be very specific around a particular coding system, this would reduce that level of flexibility.  This is something we have to watch.We all agree that for a variety of reasons one of the key motivations we have is to try to support indigenous production.  How exactly this is to be done is something that may best be determined as time evolves and the possibility we are stitching in here by using the statutory instrument mechanism is the right course.I understand Deputy Coveney's amendment in that one may look at indigenous production in that very explicit manner, as a factor in our considerations, but we have to be careful since we are operating within a free trade system where the rules are fairly explicit and can be pursued.  While obviously we have to consider what our domestic production levels are, it is something that is best done in the use of those secondary instruments rather than necessarily in primary legislation.This is going to evolve.  Within the European process we have stitched in various review stages.  We have to review it anyway, to reach the 10% target as to what the level will be as regards other renewable fuels coming in.  Establishing the general obligation system while using the statutory instrument mechanism to adjust it is the right process.  To be specific under primary legislation would weaken our ability to be flexible.  While I understand the amendments have the very positive intent of supporting indigenous production, in the long-run we shall be better served by giving ourselves the flexibility necessary to adjust standards and codes as we go on.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	7	I understand the point the Minister is making as regards amendment Nos. 1 to 4, inclusive, but if my colleague wants to press them I will support him.However, I am surprised, particularly in relation to amendment No. 11, that the Minister does not believe this is a factor which should be considered.  When assessing the percentage bio-fuel mix in the future, one of the factors the Minister should consider is the capacity of domestic producers to supply bio-fuel to meet market demands.  As regards amendment No. 12, one of the factors he should consider is what other countries are doing in this area.  Surely that should be stitched into the legislation.The legislation states, "For the purpose of a review under this section, the Minister shall have regard...", and that is reviewing the percentage of bio-fuels — the 4% we were introducing.  If we are going to increase or reduce it at some stage in the future, the legislation already says the Minister shall have regard to the effect of the bio-fuel obligation on fuel prices in the State.  That is a domestic consideration, and it stipulates he shall have regard to the reports required to be submitted to the Commission of the European Communities on progress in the promotion of use of energy from renewable sources pursuant to Article 22 of the directive.  Therefore, we have to take EU directives into account.All I am saying is that the Minister should have regard to the capacity of domestic producers to supply increased levels of bio-fuels and that he should also look at what other countries are doing to support domestic production.  We all agree that where possible we want to see bio-fuels that are used in Ireland produced in Ireland.  We cannot block imports from other European countries, and neither should we, but we can put market conditions in place that make it as advantageous as possible for people to produce the bio-fuels that will be used in Ireland here at home, and give farmers and companies here the option to do that.I shall press amendments Nos. 11 and 12, while I can understand the Minister's points on the other amendments and I believe what he says makes some sense.  However, amendments Nos. 11 and 12 are in a different category.  They have nothing to do with TARIC codes, and neither have they anything to do with quality.  They are simply asking any future Minister who might not have the same grasp of this issue as the present incumbent to have regard to what other countries are doing and to the capacity to produce bio-fuels domestically in Ireland, as that industry develops into the future.  I do not believe that is too much to ask.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	8	We must have regard to the directives.  This is primarily being driven by European directives and legislation.  That is a good thing, as it gives us a scaled response that will help establish a stable market.Crucially as well, we are involved in a very sensitive world trade issue here and we have to be very careful in our legislation in terms of explicit reference to some of the considerations that the Deputy has mentioned.  However, we may weaken our hand if we are explicit in that.  It is better to put it into secondary legislation.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	9	I move amendment No. 2:
In page 6, between lines 38 and 39, to insert the following:" "commencement date" shall mean 1 January 2013;".
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	10	I move amendment No. 3:
In page 7, between lines 3 and 4, to insert the following:" "EN15376" shall have the meaning prescribed to it in document "EN 15376:2007 Automotive fuels — Ethanol as a blending component for petrol — Requirements and test methods" or any subsequent revisions to this document by the EU Committee for Standardisation;".
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	11	I move amendment No. 4:
In page 8, between lines 4 and 5, to insert the following:" "Taric code 2207 1000" shall have the meaning prescribed to it in Commission Regulation EC NO 948/2009 of 30 Sept 2009 amending Annex 1 to Council Regulations (EEC) No. 2658/87 on the tariff and statistical nomenclature and on the Common Customs Tariff.  The duty is to be applied in accordance with Taric code 2207 1000 — Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher;".
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	12	Amendments Nos. 5 to 7, inclusive,14, 15, 19, 20, 34 and 35 are related and may be taken together.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	13	I move amendment No. 5:
In page 8, line 36, after "publication" to insert "on its website".These amendments are inserted for further clarification purposes.  They are largely of a technical nature and I propose they be accepted on that basis.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	14	I move amendment No. 6:
In page 8, line 37, to delete "The Agency" and substitute "For the purposes of paragraph (a), the Agency”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	15	I move amendment No. 7:
In page 9, line 19, after "period" to insert "not less than".
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	16	Amendments Nos. 8 to 10, inclusive, and 21 to 32, inclusive, are related and may be taken together.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	17	I move amendment No. 8:
In page 9, to delete lines 23 to 34 and substitute the following:"(3) The specified amount, referred to in subsection (1), for the purpose of determining the biofuel obligation, shall be expressed in litres and shall be calculated by reference to—(a) the relevant disposals of petroleum products by each obligated party during the obligation period concerned, and(b) the percentage rate provided for by section 44D(1).”.Amendment No. 22 is inserted for further clarity in respect of the value of each biofuel certificate to each litre of biofuel for compliance with the obligation.  The subsequent amendments Nos. 23 to 32, inclusive, are technical amendments arising from the insertion of amendment No. 22.  These amendments are put forward on the basis of contracts with industry, which raises a question as to whether the extant draft would be open to interpretation.  The amendments are designed to remove that doubt and I propose they be accepted.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	18	I move amendment No. 9:
In page 9, to delete lines 35 to 44 and substitute the following:"44D.—(1) The percentage rate referred to in section 44C(3)(b) shall be—(a) such percentage as stands specified by order under subsection (2), or(b) where no amount stands so specified, 4.166 per cent.”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	19	I move amendment No. 10:
In page 10, to delete lines 4 to 8 and substitute the following:"(b) The Minister may revoke an order under this subsection without providing for a percentage rate, in which case the percentage rate specified in subsection (1)(b) shall apply.”.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	20	I move amendment No. 11:
In page 10, between lines 12 and 13, to insert the following:"(b) the capacity of domestic producers to supply biofuel to meet domestic market demands,”.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	21	I move amendment No. 12:
In page 10, between lines 18 and 19, to insert the following:"(c) the various custom tariff policies and other national policies adopted by EU member States to promote domestic production of biofuels to supply market demand,”.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	22	Amendments Nos. 13 and 33 are related and may be discussed together.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	23	I move amendment No. 13:
In page 10, line 33, to delete "the internet" and substitute "the Minister's website".These are straightforward technical amendments.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	24	Any information proposed to be put on-line, as outlined in the sections referred to, will be posted on my Department's and the agency's websites but will not solely be on either one or the other.  Therefore, I do not propose to accept the amendments.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	25	I move amendment No. 14:
In page 10, line 39, after "publication" to insert "on the internet".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	26	I move amendment No. 15:
In page 10, line 40, to delete "The Minister" and substitute "For the purposes of paragraph (a), the Minister”.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	27	Amendments Nos. 16 and 18 are cognate and will be discussed together.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	28	I move amendment No. 16:
In page 15, lines 51 and 52, to delete "biodegradable waste or residue" and substitute the following:"biodegradable waste, residue, non-food cellulosic material, lignocellulosic material or algae".This addition is made in order to clarify that bio-fuel produced from non-food cellulosic material, lignocellulosic material or algae can also be considered eligible for certification under the obligation.  These bio-fuels are classified as second generation bio-fuels and, as such, do not compete with fuel crops for land or resources.  Given that we have dealt with drafting questions, we can now insert these into the Bill.  Reflecting their importance, these fuels will receive double certificates under the scheme.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	29	I strongly support the amendments which serve to facilitate what will be in the future an important industry in Ireland, that is, the production of bio-fuels from waste.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	30	To go back to the Deputy's earlier question, the production of gas from waste will also be eligible for double certificates.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	31	Yes, I had assumed that would be the case.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	32	I move amendment No. 17:
In page 16, line 39, after "concerned" to insert "and is classified under certain Taric codes".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	33	I move amendment No. 18:
In page 18, lines 2 and 3, to delete "biodegradable waste or residue" and substitute the following:"biodegradable waste, residue, non-food cellulosic material, lignocellulosic material or algae".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	34	I move amendment No. 19:
In page 18, line 4, to delete "The Agency" and substitute "For the purposes of paragraph (a), the Agency”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	35	I move amendment No. 20:
In page 18, line 22, after "publication" to insert "on its website".
