#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	0	I propose to take Questions Nos. 1 to 5, inclusive, together.There are no plans at present to hold referenda in 2003. The previous Government acted on most of the key recommendations that have emanated from the All-Party Committee on the Constitution. In all, the previous Government brought forward nine referenda on cabinet confidentiality, the Amsterdam treaty, the British-Irish Agreement, local government, the death penalty, the International Criminal Court, the protection of human life in pregnancy and the Nice treaty. Unfortunately, a proposed referendum on judicial oversight did not proceed due to lack of cross-party support in the Dáil.The Government will avail of any appropriate opportunity to take forward further recommendations of the all-party committee as the opportunity arises or if there is any particular issue which is pressing. The nature of the referendum process requires that careful consideration be given to the frequency with which referenda can realistically be held and the significance of the issue in question.On the specific matter of the committee's seventh progress report concerning Parliament, there are various different recommendations ranging from eligibility for membership of Dáil Éireann to changing the composition and functions of the Seanad. The recommendations mostly require changes in standing orders and procedures rather than constitutional change and could be implemented by changes to standing orders in the Dáil or Seanad – and this is a matter for the Houses themselves. I have asked the Government Chief Whip to consult other parties on the participation of Northern Ireland representatives in the Dáil and I will shortly meet the Leader of the Seanad who is anxious to progress reforms in that House.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	1	Now that the Convention on Europe has published most parts of a draft constitution, will the Taoiseach confirm that a referendum will be required to ratify that constitution? When does the Taoiseach envisage that will happen? Will it be held during the Italian Presidency or is it likely that he, as President, will deal with the treaty negotiations? What is the Government's attitude to the treaty containing references in whatever context to the words "federal" and "federalism"?
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	2	On the matter of the Convention on Europe, we have only seen the first draft clauses of the treaty. It is premature to say when it will be finished or what it will contain. I said at Christmas that there is a possibility that the convention would be finished in the summer. If that is the case the Intergovernmental Conference will be held in the autumn. I think that has been put back a little because the Swedish Government has decided to hold a referendum on the euro currency in October.A number of referenda will be held during this year by all the applicant countries to deal with enlargement. It is thought to be highly unlikely that the Intergovernmental Conference will start even if the convention has finished. It is not certain but it seems there will be a break between the convention and the Intergovernmental Conference. That is not certain because the Italians are anxious to initiate the process during their Presidency and there is a strong possibility that will be the case. It could be put back to the Irish Presidency or even beyond but it is difficult to predict at this stage.The question of whether we will require a referendum can only be considered when the pro cess has finished. It is probably likely that a referendum will be required but I do not want to give a definitive answer on that matter.I am sure many issues will arise during the debate. Deputy Kenny will know that the federalist agenda for Europe is one that I have always argued against and will continue to do so.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	3	I wish to ask the Taoiseach a different question. Will he consider bringing forward legislation to amend the Referendum Act 1998 in light of the recommendation in the sixth report of the all-party committee on the Constitution that the Referendum Commission put the proposals for and against referenda? Will the Taoiseach consider putting into effect the report of the all-party committee with regard to a reduction in the age eligibility limit for the Office of President from 35 to 18 years?Has the Taoiseach considered the unique situation that applies to sign language in Ireland and recognising it as the third official language of the country? I was not aware until recently that Irish sign language, although it is used by only a small number of skilled people, is a unique form of communication distinct from sign language in any other country.
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	4	The Taoiseach does not need it.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	5	He is skilled at reading it.
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	6	The sixth report of the all-party committee on the Constitution review group deals with the fact that "for and against" arguments must be put, and legislation for that has been passed. The answer to the second question on the reduction of the age from 35 to 18 as recommended by the all-party committee is "No". It is a daft idea and I totally disagree with it. While I know Irish sign language is a vital part of communication and is used by probably a larger number than we imagine, I am not sure a constitutional provision would need to be made for it. I am not too sure of its status but will check the situation. I know it is used in education and as a means of communication. If I remember rightly from a visit to the Irish Deaf Society, several different forms of sign language are used.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	7	The Taoiseach will be aware from the draft report of the all-party committee on the Constitution focusing on Government that Article 28 of the Constitution, dealing with conditions under which the Government might declare or participate in a war, was considered. There was a feeling that it needed to be extended to include "or other armed conflict". Will the Taoiseach agree that if that amendment was in place it would change the situation in which Ireland is currently co-operating with an armed conflict or war in Iraq? Is there a view in Government that there should be an amendment to extend the range of that article to include the term "or other armed conflict"? Does the Taoi seach agree there needs to be a credible policy of military neutrality following the Nice treaty and the inclusion of a reference which is supposedly about neutrality?
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	8	The first question is in order but the second is outside the substance of the five questions.
#TrevorSargent	unknown-#TrevorSargent-party	unknown-#TrevorSargent-dob	unknown-#TrevorSargent-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	9	I am trying to stay within order. A referendum on neutrality is what my question is about and we are dealing here with a question about a referendum on the Constitution. I want to ask the Taoiseach if he is considering amendments to the Constitution mindful of the need to clear up the uncertainty as to whether Ireland is neutral, given that we have paid €1.5 million in landing charges—
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-02-11 00:00:00	Prelude	10	The Deputy has made his point.
