#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	0	I welcome the Minister for Justice, Equality and Law Reform, Deputy McDowell, and his officials to this meeting for the purposes of resuming consideration of Committee Stage of the Private Security Services Bill 2001. Before we begin, I confirm that the committee will continue until 5.15 p.m., and it is then agreed that tomorrow morning the joint committee will consider the Criminal Justice Bill 2003 and the justice and home affairs briefing by the Minister regarding the meeting last week. Is that agreed? Agreed.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	1	Does the Minister wish to reiterate the points he made on the last occasion?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	2	I outlined my belief regarding gardaí and members of the Defence Forces that, in respect of gardaí, the matter is properly dealt with in Garda legislation, not private security legislation. As regards the Defence Forces, I pointed out that it is a matter for the Minister for Defence to make up his mind but that he has more than ample opportunity to do so in that the Defence Forces regulations provide that off duty employment can be terminated or limited where it is likely to prove detrimental or prejudicial to the best interests of the Defence Forces. We cannot push the matter any further at this stage.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	3	I asked the Minister to clarify whether such an exemption is intended to apply to prison officers and fire brigade staff. It seems strange that he does include the Air Corps police fire service, the air navigation service and so on as part of the exemption. The amendment refers directly to section 3.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	4	Section 3 exempts people while carrying out the duties of their office or employment. If it were necessary to mention prison officers in that category I would have no objection to doing so, but I do not think it likely at the moment that prison officers will come within the scope of this. Even if they did, section 3(1)(e) covers an officer or employee of a Government Department or State agency while carrying out his or her duties. Thus, it is not necessary to do that.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	5	Are members of the Garda Síochána and the Defence Forces not employees of Government Departments?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	6	They are not officers or employees of a Department, they are statutory officers. I do not think prison officers are in the same category as a matter of common law but police officers are independent State officers subject to the Garda Síochána, and they do not fall within the category of "employee" and are not officers of a Department. For instance, a member of the Garda Síochána is not an officer of the Department of Justice, Equality and Law Reform. Sometimes I am sued in certain circumstances and I often wonder why because I am not vicariously liable for police activity.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	7	The Minister is a clear target, he puts his head up a lot. I still think that amendment No. 48, which relates directly to members of the Garda and the Defence Forces, is a belt and braces job to ensure there is no ambiguity about this. Thus, one does not have to wait for the Garda Commissioner or the Chief of Staff of the Defence Forces to lay down the regulation and make it clear to their members that they are not to be employed by certain people. In that regard, the Minister should look at this again. It is important that we exclude those particular groupings from those particular jobs. Even if he cannot accept this point at this stage, I would hope that the Minister will have another look at it on Report Stage.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	8	I move amendment No. 19:
In page 8, subsection (1), lines 16 to 18, to delete paragraph (d) and substitute the following:"(d) an authorised officer, or authorised person, within the meaning of the Air Navigation and Transport Acts 1936 to 1998,”.This is essentially a drafting amendment to substitute the revised text of section 3(1)(d) which was supplied by the Department of Transport.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	9	I move amendment No. 20:
In page 8, subsection (2), line 28, after "services" to insert "or security services of a particular class".Section 3(2) provides that the private security authority may, in exceptional circumstances by order, exempt from the Bill's provisions persons who are providing security services at a specified place, event or function. Amendment No. 20 is designed to permit an exemption for a particular class of security services, as opposed to all security services.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	10	Is there any particular class in mind?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	11	No, it should be possible to designate a class of security services on a particular occasion or in a particular place, rather than saying that everybody at that occasion or in those circumstances is to be exempted. It is designed to enable a slightly narrower focus for an exemption to be taken.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	12	Is the amendment agreed?
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	13	I agree to the amendment, but how does the Minister envisage functions of this nature being brought to the attention of the authority? There is such a plethora of functions that might be one-off functions, whether they be political party meetings, State activities or whatever. One of the amendments coming up relates to a visit to the State, which I presume refers to the imminent six-month EU Presidency. Take the example of a GAA function. There might be a degree of doubt as to whether it comes within the normal remit. If it is covered by a security firm, does that automatically bring it within the remit of the legislation or, depending on the class of the function, is it subject to exemption from the provisions of the legislation? How is a club or body of that nature to know it has the responsibility of contacting the authority to request that a particular event be exempt from the provisions of the legislation?
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	14	A relevant example at the moment is the National Ploughing Championships, which have just been held. It takes a colossal army of volunteers to man the event, police it and control parking, gate security and so on. How do they fare in such a situation? There would be an interesting mix of people at such an event. The commercial stands selling machinery and so on probably hire their own commercial security firms. How stands that whole scenario in terms of classification under this Bill? How can we have the dual operation in place whereby the overall responsibility is with the National Ploughing Championships committee that is entirely voluntary, yet within that there are the machinery stands, banks, Departments——
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	15	That is a very good example.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	16	It is exactly on Deputy McGrath's point that——
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	17	The Ballinasloe Horse Fair this week is another example.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	18	We will stick with the National Ploughing Championships.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	19	It is exactly regarding the type of question raised by Deputy McGrath that the amendment has been tabled. If we were not to amend this section and if the IFA or the National Ploughing Association were to apply for exemption for the championships for security services en bloc, then the questions arises, as the Deputy noted, as to what happens to the bank security person, for example. Would he or she be exempt? What would happen to the exhibitors’ security services and the like?It would be possible, to take that particular example, for the National Ploughing Association to apply to the authority to exempt, say, perimeter stewards carrying out stewarding functions other than for reward or whatever who are members of the NPA, IFA or whatever by applying for a particular class of security activity for exemption for a particular group of people. That is what the amendment is supposed to do. If it were left unamended one could have the strange anomaly whereby, at Ballinabrackey, the NPA applied for an exemption for all security services, yet people who are defending the ATM machines from being ploughed into the ground or whatever need not be covered by the Bill.This is a reasonable amendment. I think Deputy Costello's point is the same as Deputy McGrath's. This is designed to be flexible, but the onus will be on the applicant to apply for exemption. I could imagine a Papal visit for instance, if it were to recur, being an occasion on which the organisers might apply for stewards and voluntary security staff to be exempt from the ambit of this Bill, but the onus would be on the organisers to make that application. Deputy Costello asked how they will know they have to do this, but it will be the law, and——
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	20	What will happen to them if they do not?
