#ImeldaMunster	unknown-#ImeldaMunster-party	unknown-#ImeldaMunster-dob	unknown-#ImeldaMunster-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	0	Further to Question No. 1 of 17 November 2022, will the Minister provide an update on whether the wide range of alternative options being explored by the Government will be made available in time for the reopening of hotels to tourism in summer 2023, and on the engagement carried out by her Department on the senior officials group, including a copy of or details of the concerns she communicated on behalf of the tourism sector to the Minister for Children, Equality, Disability, Integration and Youth?
#CatherineMartin	unknown-#CatherineMartin-party	unknown-#CatherineMartin-dob	unknown-#CatherineMartin-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	1	The war in Ukraine, combined with the high number of international protection applicants, continues to put real pressure on the Government's ability to offer humanitarian accommodation and has resulted in the largest humanitarian effort in the State's history. The Department of Children, Equality, Disability, Integration and Youth is availing of the wide range of offers of accommodation made to it, including the use of office buildings and sports facilities, to address the accommodation shortfall. These options are necessary to provide shelter to international protection arrivals, to meet basic needs and to prevent homelessness. The Government is focused on how to continue the sustained support for those fleeing the war in Ukraine, including those already here as well as those likely to be further displaced by the ongoing conflict. As part of this, the Government agreed that a move from an emergency response to a more mainstreamed approach, including a reduced reliance on serviced accommodation, is appropriate. This includes an increased focus on rapid-build housing and a new call for vacant homes led by local authorities. I can confirm that the Government has approved the construction of 700 rapid-build homes with the potential to house up to 2,800 individuals in family units. The rapid-build homes will be constructed on State-owned land. The Office of Public Works, OPW, is leading the development of this accommodation in conjunction with the Department of the Minister, Deputy O'Gorman. The objective is to install 500 units by March-April 2023. My Department, at the senior officials group on Ukraine, has communicated the potential challenges arising for the tourism ecosystem, particularly in those parts of the country where high proportions of the tourism accommodation stock are directed to humanitarian purposes. The recent report from the Irish Tourism Industry Confederation, which called for a reduced dependence on tourism accommodation and a geographically balanced spreading of such usage across the country, is relevant in this context. My officials are engaging with a range of Departments, with input from colleagues in Fáilte Ireland, on how best to mitigate the potential impacts on the wider tourism ecosystem of long-term use of tourism accommodation. Analysis is being done on those towns or areas most impacted in this regard, with a focus on the sectoral skills at risk and the businesses suffering most from the lack of tourism accommodation. My Department will engage further on that analysis in the period ahead.
#CatherineConnolly	unknown-#CatherineConnolly-party	unknown-#CatherineConnolly-dob	unknown-#CatherineConnolly-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	2	Go raibh maith agat, a Aire. You will have a chance to come back in.
#ImeldaMunster	unknown-#ImeldaMunster-party	unknown-#ImeldaMunster-dob	unknown-#ImeldaMunster-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	3	As the Minister said, the Irish Tourism Industry Confederation compiled a report that revealed that more than one in five tourist beds in Ireland are contracted by the State. That is 22% of the country's tourism accommodation capacity, including 15% of hotel rooms, to provide shelter for those fleeing Ukraine and the thousands of other asylum seekers from other countries. The fear is that the tourism season starts in early March and, judging from what the Minister has said, the figures are particularly high outside Dublin. There does not seem to be a real plan. The OPW said earlier in the week that 200 rapid-build homes would be available between early and mid-2023. The Minister has said there are 500, but I have seen no evidence of that and there is no guarantee or commitment. The fear is that the tourism sector will not be fully open for the early part of the tourism season. What plans are there for those who are currently in hotel rooms? Where do they go?
#CatherineMartin	unknown-#CatherineMartin-party	unknown-#CatherineMartin-dob	unknown-#CatherineMartin-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	4	I have regular interaction with my colleagues in the Government on this issue and have communicated the industry's concerns about the long-term effect this issue could potentially have on our tourism sector, especially, as the Deputy said, with the tourism season really kicking off in March.I meet the Minister, Deputy O'Gorman, every week and have discussed the impact of the humanitarian response on tourism with him and other Cabinet colleagues. The Government has approved the construction of rapid-build homes, with the potential to house up to 2,800 individuals and family units. These will be built on State-owned land. After a programme of engagement with public representatives and local authorities, work has begun on the first phase of sites in Cork, Cavan, Claremorris, Mallow and Thurles. Following further engagement and the completion of suitability assessment work, further sites will come on stream in the coming weeks. I met the Irish Tourism Industry Confederation, ITIC, in December following the publication of its report on the impact of the Ukrainian conflict. Officials in my Department and Fáilte Ireland meet representatives of the tourism sector monthly. These meetings are hosted by Fáilte Ireland. The hospitality and tourism forum that the Minister for Enterprise, Trade and Employment, Deputy Coveney, and I will co-chair will meet next week to hear and address concerns.
#ImeldaMunster	unknown-#ImeldaMunster-party	unknown-#ImeldaMunster-dob	unknown-#ImeldaMunster-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	5	From the start, hotel accommodation was seen as a short-term solution. It is not an ideal medium-to-long-term solution for the families involved. We are six weeks away from when the tourism season starts. The Minister is not responsible for sourcing accommodation, and I am not for one moment saying she is, but she is responsible for the tourism sector. Apart from the OPW's 200 rapid-build homes that may be ready between early April and mid-2023, there does not seem to be a plan, which has been the problem from the start. There are no figures. We do not want to reach a point of chaos. The ITIC has been saying this since November, but the Government has had since last March to plan. We are in unprecedented and difficult circumstances, but that is being compounded by the Government's lack of planning.
#CatherineMartin	unknown-#CatherineMartin-party	unknown-#CatherineMartin-dob	unknown-#CatherineMartin-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	6	To clarify, there will be 700 rapid-build homes. There will be up to 6,000 beds available in the coming months through the combination of rapid-build homes, the work on vacant homes that is being led by local authorities and the refurbishment work led by the Department of Housing, Local Government and Heritage. I am in regular engagement with the tourism sector and am fully cognisant of its concerns. I will meet it again through the tourism and hospitality forum with the Minister, Deputy Coveney. We are also concerned about the impact on ancillary businesses. We will consider supports for tourism and hospitality in the coming weeks.
#RichardBoydBarrett	unknown-#RichardBoydBarrett-party	unknown-#RichardBoydBarrett-dob	unknown-#RichardBoydBarrett-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	7	The Minister may be aware that the Committee on Budgetary Oversight, which I am a member of, has been examining section 481 relief, which goes to film producer companies to make films. In return, those companies are supposed to give quality employment and training and comply with all relevant legislation. The Minister may have heard Equity saying that people are being forced to waive their rights to intellectual property, royalties, the equitable remuneration they are entitled to and so on. Film crew have said that their rights under a series of employment legislation are not being vindicated. How will the Minister respond to these concerns?
#CatherineMartin	unknown-#CatherineMartin-party	unknown-#CatherineMartin-dob	unknown-#CatherineMartin-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	8	I thank the Deputy for raising the film industry in the week that is in it. This is an opportunity to congratulate Irish people on their Oscar nominations. The annual global spotlight on the Oscars is now shining on Ireland's culture, our beautiful scenery and, most particularly, our creative talent. The House will join me in congratulating the casts and crews of "An Cailín Ciúin" and "The Banshees of Inisherin", including Colm Bairéad and the team, Kerry Condon, Colin Farrell, Brendan Gleeson, Barry Keoghan and Martin McDonagh. I also congratulate other Irish nominees - Paul Mescal, Richard Baneham and Jonathan Redmond - on their nominations. It is a pleasure to be able to name so many Irish people who are making their mark on a global stage. Success breeds success and Ireland is a more attractive location for film-making as a result. I understand that the Deputy is referring to matters raised at the Committee on Budgetary Oversight's examination of section 481. I am aware that the committee has taken evidence from many witnesses and organisations as well as from officials from my Department. As I understand it, many different views were expressed to the committee, with most witnesses underlining the importance of section 481 to the audiovisual industry and to Ireland. I respect and am passionate about the rights of workers, but as I have stated previously, this matter does not fall to my Department. Employment law is the responsibility of my colleague, the Minister for Enterprise, Trade and Employment, as are the mechanisms for dealing with disputes - the Workplace Relations Commission, WRC, and the Labour Court. These are the appropriate avenues for complaints relating to employment law. I ask that, if the Deputy is aware of wrongdoing, he please bring that information to the WRC. I understand that the intellectual property issue raised by Equity focuses on the question of whether residuals are paid. This is a matter for consideration by the members of Equity in conjunction with SIPTU. If they so decide, they can enter into negotiation with the organisations and companies that engage them. I wish to bring to the attention of the House that our Oscar-nominated films were made during Covid. They should be applauded for this. Every one of the cast and crew of the films worked under difficult restrictive protocols at all times during production. I am so proud of our film industry today.
#RichardBoydBarrett	unknown-#RichardBoydBarrett-party	unknown-#RichardBoydBarrett-dob	unknown-#RichardBoydBarrett-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	9	Obviously, we all share in the celebration of the success of "The Banshees of Inisherin" and "An Cailín Ciúin", but that success, which results from performances, writing and directing as well as the crews who stood behind the cameras, underlines the need to guarantee, vindicate and champion the rights of performers, writers, directors and the crew who make those films and not to pass the buck, which the Minister has essentially just done. Those films and all other films in this country are funded with public money and are subject to the requirement that we get quality employment and training and that the intellectual property rights of writers, performers and so on are guaranteed. Equity has made it clear that its members are being forced to waive their intellectual property rights, which is in breach of the copyright directive and our legislation. Film crews have pointed out that, for example, their rights under the Protection of Employees (Fixed-Term Work) Act are being ignored and abused by film producer companies that are in receipt of large amounts of public money.
#CatherineConnolly	unknown-#CatherineConnolly-party	unknown-#CatherineConnolly-dob	unknown-#CatherineConnolly-constituency	speech	unkown-language	2023-01-26 00:00:00	Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions	10	Go raibh agat. You will have a chance to come back in again.
