#ColmBrophy	unknown-#ColmBrophy-party	unknown-#ColmBrophy-dob	unknown-#ColmBrophy-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	0	Apologies have been received from Deputy Heydon. Today’s meeting is one of a series of pre-budget consultation meetings with selected national stakeholders. The committee is grateful for the submissions it has received to date as part of this process. This evidence will feed into our interim report in July and our final pre-budget report in September. Before we begin, I propose the committee goes into private session to deal with some matters. Is that agreed? Agreed.
#ColmBrophy	unknown-#ColmBrophy-party	unknown-#ColmBrophy-dob	unknown-#ColmBrophy-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	1	I remind members and witnesses to turn off their mobile phones as they interfere with the sound quality and transmission of the meeting. I welcome from Social Justice Ireland Dr. Seán Healy, Ms Michelle Murphy and Mr. Eamon Murphy; from the Nevin Economic Research Institute Dr. Tom McDonnell, senior economist, and Ciarán Nugent; and from the Irish Congress of Trade Unions Mr. Ger Gibbons, social policy and legislative officer. I thank them all for making themselves available to meet the committee today. As part of our pre-budget consultation process, we are holding two sessions today to meet selected national stakeholders. We will hold further sessions in September. We will ask each of the witnesses to make an opening statement and then members will ask questions. By virtue of section 17(2)(l) of the Defamation Act 2009, witnesses are protected by absolute privilege in respect of their evidence to the committee. If they are directed by the committee to cease giving evidence in relation to a particular matter and they continue to so do, they are entitled thereafter only to a qualified privilege in respect of their evidence. They are directed that only evidence connected with the subject matter of these proceedings is to be given and are asked to respect the parliamentary practice to the effect that, where possible, they should not criticise or make charges against any persons or entity by name or in such a way as to make him, her or it identifiable. Members are reminded of a long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the House, or any official by name in such a way as to make him or her identifiable. I invite Dr. Healy to make his opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	2	We welcome the opportunity to meet the committee, whose work is very important. As not everything can go into the opening statement, we would be happy to deal with any issues people want to pursue in the questions that follow. On the surface Ireland is performing very well on a range of issues: our economy is growing and unemployment is low. On closer analysis, there are some very serious issues. We have a housing crisis; we have persistent poverty and social exclusion problems; we have a long waiting list for healthcare; we have major issues relating to climate change and so much else that would actually bring into question how well Ireland is performing overall. It is important to recognise that budgets are about choices. In making these choices Government is shaping the society of the future. It is putting in place the various components of what it considers to be a good society, the infrastructure and services that shape the future. Budget 2020 should be designed so that it is both economically sound and socially fair. These twin objectives are both realistic and achievable. However, they need to be underpinned by a clear policy commitment and by budget decisions aimed at achieving both. I will address the overall fiscal position. The fiscal space is a critical issue. Government has the freedom in budget 2020, and in any future budget, to generate additional taxation revenue, from raising taxes in one area, and then spending or investing this money elsewhere. For us there is an issue about the transparency of the budget where the fiscal space is concerned.  We note with concern that the table setting out the available fiscal space for the next budget which was previously included in the stability programme update has been omitted from the Draft Stability Programme Update 2019 published in April. To facilitate informed comment and engagement with the budget process the details usually contained in this table should be made available in the public arena. On public expenditure and Exchequer receipts policy, Social Justice Ireland believes that in the coming years policy should focus on increasing Ireland's total tax take. A move in this direction is unavoidable if we are to deal with the existing gaps in infrastructure and social provision, and if we are going to deal effectively with the other issues that emerge and the bills that have to be met in the period immediately ahead. Using GDP, GNI and GNI* is problematic in setting targets. We propose setting a new total tax take target on a per capita basis. The target is that Ireland’s overall level of taxation - not just income tax - should reach a level equivalent to €15,000 per capita in 2017 terms. This target should increase each year in line with growth in GNI*. We calculate that the difference between the level of taxation by continuing as things are and what we propose would be €3.5 billion in 2019.  Increasing the overall tax take to this level would require a number of changes to the tax base and the current structure of the Irish taxation system. Increasing the overall taxation revenue to meet this new target would represent a small overall increase in taxation levels and would be unlikely to have any significant negative impact on the economy. It would still keep Ireland as a relatively low tax-take country. Demography will have a significant impact on Ireland’s budgetary position. Ireland’s growing and ageing population will require increased spending at certain stages in all levels of public expenditure, from early childhood education and care, through education, healthcare and pensions, and obviously care and social care for older people. These issues should be part of the framing of Ireland’s overall fiscal position. In the broader context we believe that windfall gains in taxation should be used to provide investment for non-recurring infrastructure projects such as the provision of social housing, primary healthcare centres, rural broadband etc. Once the houses are built, they do not need to be built again next year; it is one-off expenditure.Delivering a just taxation system requires three actions: an increase in the overall tax take, adoption of policies to broaden the tax base, and the tax system to be developed fairly. To achieve a budget that is economically sound and socially fair, other issues have to be dealt with besides taxation. Issues relating to social, economic and environmental development, in particular, have to be addressed simultaneously. We believe the budget should seek to develop five overall goals, including a vibrant economy, decent services and infrastructure, just taxation, good governance and sustainability. We spell out each of those goals in a series of proposals, which we can break down and so on. These proposals are set out on page 3 of our policy briefing, Budget Choices, which we circulated to the committee in advance of the meeting. I draw the committee's attention to the fully costed set of proposals in the briefing. We have also identified how those proposals can be paid for and the impact they have on the overall budget. We set out all of our taxation proposals and what the income would be from those proposals on page 16. We spell out all of our expenditure proposals and what they would cost on page 17. We then balance the books on page 18. We are being totally transparent in that every proposal we make is costed and we show how it can be financed. We recommend this document as a set of proposals for a fully integrated approach, socially, economically and environmentally, where the decisions are taken simultaneously and, therefore, one is not dealt with without the other. We can be as specific as the committee would like on any of these proposals.
#ColmBrophy	unknown-#ColmBrophy-party	unknown-#ColmBrophy-dob	unknown-#ColmBrophy-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	3	I thank Dr. Healy for his opening statement. I invite Dr. Tom McDonnell to make his opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	4	I thank the Chairman and the committee for the opportunity to appear. I am accompanied by Mr. Ciarán Nugent of NERI, and Mr. Ger Gibbons of the Irish Congress of Trade Unions. We are happy to answer questions later. As Dr. Healy pointed out, a six-minute statement can only cover so much ground, so the accompanying submissions should be considered as well.
#ColmBrophy	unknown-#ColmBrophy-party	unknown-#ColmBrophy-dob	unknown-#ColmBrophy-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	5	Dr. McDonnell need not worry; we will consider them as well.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	6	NERI's analysis of the available evidence is that the economy is not yet overheating. However, this is likely to change before the end of 2019 in the absence of a negative external shock such as a disorderly Brexit, which could quickly catapult us in the opposite direction. The various Brexit permutations mean that short-run forecasting is particularly uncertain. Nevertheless, the medium and long run sustainability question should continue to guide the fiscal stance taken by the Government. The overall fiscal position is reasonably solid, at least ostensibly, with a neutral headline general government balance, GGB, of 0.0% of GDP in 2018. In addition, our view is that the structural or cyclically adjusted balance was marginally in surplus in 2018. Effectively, the public finances are now in balance, notwithstanding our high debt level. Baseline average output growth of 4.5% is feasible over the 2020s. This sets a baseline for sustainable average annual nominal increases in public spending net of discretionary revenue measures. When we take into account demographic and inflationary pressures, the real per person increase will be close to just half this amount. Regardless of what form it takes, Brexit will marginally reduce potential output growth over the 2020s and this will, therefore, impinge on the annual fiscal space available to Government. However, the effect of Brexit on the amount of fiscal space available each year can be overstated. I am happy to talk about that further later. The other major source of uncertainty relating to the budgetary position is the sustainability of corporation tax receipts. The surge in receipts in recent years caught policymakers and analysts by surprise. Changes to the treatment of corporation tax at EU and international levels, which are likely over the next two years, may undermine the flow of revenue from this source, at least domestically. it is, therefore, contentious whether some of those corporation tax receipts should be considered part of our structural tax base at the moment. This suggests a more cautious fiscal stance until we have greater certainty regarding future revenue yields. NERI has produced a number of papers in recent years showing that Ireland's per capita public spending and per capita Government revenue are both below average compared to peer high income EU countries, which refers to all of the other countries in the EU with a GDP per capita of 30,000 or greater. I refer the committee to the accompanying submission and I am happy to discuss this in greater depth.  Given increasing demand pressures, Ireland's position in the economic cycle and the negative implications for inclusive growth and public services, a package of discretionary revenue measures that reduces net Government revenue would be an unwise course of action for budget 2020. Ireland faces a number of emerging challenges as we approach a new decade. These include Brexit, climate chaos, precarious work and inequality, housing and homelessness emergencies, a two-tier health system, the fiscal implications of a growing and ageing population, and the fragility of an industrial strategy based on tax-sensitive US multinationals. In particular, the risk of a no-deal Brexit has increased since the start of this year. Now is the time to invest in our people, public services and infrastructure. A substantial increase in productive investment, which will happen over the next few years, is the only way we can ensure our future prosperity in a sustainable and inclusive way. Brexit does not change this fundamental reality. Fundamentally, Brexit should not change budgetary policy in Ireland over the medium term. Good policies will remain good policies. ICTU advocates for a radical progressive vision for Ireland's economy and society. Its submission for budget 2020, which is currently being finalised and will be submitted over the summer, will outline a series of proposals that will start us on the journey to realising that vision. Congress has consistently argued for an inclusive equality-proofed budget that places the welfare and betterment of the majority at its very core and prioritises higher living standards, particularly for workers and their families, to be delivered through a transformative programme of investment in infrastructure, services and service delivery. In particular, the budget submission will articulate the need to invest more in a wide range of different areas, including social and affordable housing, healthcare, childcare and education, clean and renewable energy and public transport. Achieving these goals means abandoning attempts to cut taxes on a net basis. Such policies will help overheat the economy and will harm workers in the long run. Congress proposes new taxes on capital, particularly on wealth and property stocks, to raise money for productive social and economic investment. In principle, Congress supports an increase in the carbon tax but that is contingent on an accompanying and linked climate justice fund that would channel the revenue raised in the form of a dividend for every person living in Ireland. Our plan would reduce greenhouse gas emissions while the average household in the bottom half of the income distribution would see their purchasing power increase
after the introduction of the linked carbon tax and annual dividend, that is, they would receive more in the form of a dividend than they would expect to pay in carbon tax. Households who change behaviour and opt for less carbon intensive modes of consumption will see their gains increase. We are happy to take questions.
#ColmBrophy	unknown-#ColmBrophy-party	unknown-#ColmBrophy-dob	unknown-#ColmBrophy-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	7	I thank Dr. McDonnell for his opening statement. I call Deputy Jonathan O'Brien.
#JonathanOBrien	unknown-#JonathanOBrien-party	unknown-#JonathanOBrien-dob	unknown-#JonathanOBrien-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	8	My first question is in regard to the overheating of the economy, which Dr. McDonnell predicted might occur by the end of 2019. First, what areas have the potential to cause that overheating and, second, how do we combat them? All the reports to date that I have seen suggest that the potential for overheating comes from the construction sector, but on the non-domestic side - hotels, office blocks and so on - rather than the housing side. How do we combat that?There is a difficulty since we are not meeting the substantial demand for housing with enough supply. What is the likelihood, if we start to ramp up our housing programmes, that it could lead to overheating in the economy? How do we address the skills shortage?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	9	I thank Deputy O'Brien for his questions. Why would the economy overheat? The cyclical position of the economy is not something that one can observe directly so we look at a range of indicators. A series of models underlies that and ultimately the various forecasting houses and institutions come to a judgment about the cyclical position. It is a notoriously difficult area. I am being humble in a sense by saying that it is difficult to know at what point an economy overheats. For example, the Irish economy is now moving to an unemployment rate of between 4% and 5%. That would normally suggest an economy that is close to capacity. However, other economies, such as the United States, United Kingdom, Germany and the Czech Republic, have been managing with unemployment of below 4% for some years now. With regard to our employment rate and labour force participation, we still do much worse than a number of other countries. Our inflation rates and wage rates suggest that we are not quite there yet. Having said that, the economy has been in a cyclical upswing for close to seven years. We are starting to arrive at a point where there are skill shortages in the economy. We are seeing wages increase and it is likely that we will start to see an acceleration of that process over the next 12 months, with a big asterisk of Brexit. What is likely to cause overheating? One of the distinctive features of the construction sector is that it tends to respond with a lag effect to other demand factors in the economy. We are starting to see a ramping up of housebuilding in the economy and, as the Deputy pointed out, there are skill shortages. That ramping up of housing based on private funding and public funding will, in our view, start to push the economy into a position where it starts to overheat. That would be consistent with us moving towards a trade deficit, higher normal wage growth, higher inflation and so on. To prevent overheating from occurring, one normally responds through fiscal and monetary policy. One could do it through fiscal policy by increasing taxes, for example, or perhaps by cutting public infrastructure spending. Unfortunately, our infrastructure spending has been so low for so long now that cutting it is clearly not an option for us. We have infrastructure deficits in many areas compared with peer countries. That implies caution in other areas of fiscal policy. That points to current spending but also to taxation. We would be very cautious and worried if a stance was taken which involved significant tax cuts, particularly on a net basis, including VAT and income tax. With regard to non-domestic overheating, it is true that much construction activity in recent years has been on the non-domestic side. We expect that to change somewhat in coming years in response to demand. The rise in house prices has made it more viable to make profits in the private sector with increased intervention on the public side. Having said that, it is an issue and the answer to the question about overheating is completely contingent on what happens with Brexit. A disorderly Brexit will be a major shock to the economy. With regard to fiscal policy, there is a structural surplus of perhaps 0.1% of potential output. The implication is therefore that the fiscal space should be used each year, which keeps the country where it is with regard to the structural budget. That is non-contractionary and non-expansionary. The budget should not feed into these overheating effects but should also be cautious about cutting against the grain, particularly since the budget will happen a few weeks before any potential Brexit outcome. I would be cautious about budget 2020 being too contractionary in advance of a potentially significant shock which could propel the European economy into a recession. Does Mr. Nugent want to address skill shortages?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	10	I think Dr. McDonnell covered everything.
#JonathanOBrien	unknown-#JonathanOBrien-party	unknown-#JonathanOBrien-dob	unknown-#JonathanOBrien-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	11	I will address corporation tax and the tax base in general. We hear much about our expenditure and how Government is trying to control spending while all of the Opposition parties are seeking more spending. We hear very little on the other side about tax. We hear about widening and broadening our tax base but very little about corporation tax, tax breaks for banks, tax incentives, tax avoidance and trying to address such areas. Do the witnesses have a comment on that? Dr. Healy might be able to comment on that at a time when we have so much need and increasing levels of abject poverty and a housing crisis. How feasible is it to continue to give tax breaks to banks which are making millions?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	12	We have a very strong position on what needs to be done about tax. My colleague, Mr. Eamon Murphy, will set it out. We provided a document which has many pages setting out all the details but Mr. Murphy will provide a summary.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	13	I thank Deputy O'Brien for the question. As Dr. Healy said, this document, Budget Choices 2020, is on the website and I believe a copy was sent to all committee members. Pages 4 to 7 deal with our proposals on taxation. Pages 5 and 6 deal with many of the issues that the Deputy mentioned. He hit the nail on the head by mentioning the need to broaden the tax base and to do so in a sustainable way. Corporation tax has a substantial role to play. Most of the revenue raising proposals that we have made in that area are about reform rather than increases. It is well documented that several large multinational companies based in Ireland are paying effective rates of corporation tax well below the headline that we have set out of 12.5%, which is such an article of faith in Irish politics. One of the proposals that we made in our budget submission was to set a minimum effective corporation tax rate of 6% to ensure that those corporations are making a fair contribution to the Exchequer. The Deputy raised the feasibility of allowing banks to continue with what is effectively a corporation tax holiday. We believe that there should be a limit to the ability of corporations to carry their losses forward, limited to ten years, and that the cap on that should be returned to 50%. We are being fair about that. We acknowledge that there is a need to remove the bank levy if that is to be the case. That would see upwards of €100 million being raised in 2020 alone. The extent to which banks have been allowed to roll those losses forward effectively penalises the Irish taxpayer twice for the actions taken by the banks during the 2000s. These institutions would not exist in the current format if it was not for the taxpayer and they should now start to make a proper contribution to society. Overall, we think that Ireland needs to take a leadership role with regard to the international moves that have happened over the last few years, including setting minimum effective levels of corporation tax and creating a consolidated corporation tax base. We need to get ahead of what is really an inevitability. There is a time-limited aspect to the current system of Irish corporation tax. We need to get ahead of that and take a lead on setting a Europe-wide minimum to create a fairer system.
#JonathanOBrien	unknown-#JonathanOBrien-party	unknown-#JonathanOBrien-dob	unknown-#JonathanOBrien-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	14	I ask Dr. McDonnell to comment too. An argument that is given to those of us who call for the corporation tax holidays to be lifted is that there could be unintended consequences.Are there any of which the witnesses are aware were we to deal with the issue of the banks and the tax breaks they get? 
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	15	First, I echo the points about the CCCTB in the sense that it will happen some time in the next ten years because the Americans and the Europeans are pushing for this so it would be wise for Ireland to bake those potential losses into its fiscal policy. The IFAC has been trying to estimate the potential losses in revenue to Ireland and is coming up with figures of between €3 billion and €6 billion. That figure is too high; I do not think it will be that high. If the CCCTB comes into force, it will impact the public finances to the tune of close to €2 billion and it would be wise for the committee and Government to bake that into their figures. Regarding the impact of getting rid of those particular breaks on the banks, in principle, the NERI and ICTU have consistently taken a position that, broadly, one should move to a system where tax expenditures full stop are squeezed out of the system. They tend to be economically inefficient, regressive and non-transparent, and are a form of public spending that is never acknowledged. Having said that, if we get rid of existing tax breaks, it is important to give a window or time or notice because often, the business will have assumed that those tax breaks are in place. I am not saying it is an existential risk but the risk is that a bank could suddenly be plunged into another crisis. I am not saying that would happen. What I am saying is that when a tax break is in place, particularly when it relates to the business sector - and that is pretty standard - it is a good idea to introduce the legislation to take effect a few years down the line rather than immediately because of the short-term implications. I could not give the committee an answer on the immediate impact of making those changes on the banks.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	16	From the point of view of the issue of tax expenditures, we are strongly of the view that these need to be kept under constant review. The Commission on Taxation devoted its longest chapter to tax expenditures. It is very insightful. We need to keep pace through two measures that should be introduced. As part of the budget process, there should be an annual update of what tax expenditures are costing us. We have all this expenditure in the budget on areas such as health and education. We count all that and have all the lines and so on. We should do the same with tax expenditures. Second, there should be a sunset clause on every tax expenditure so that it must be reviewed. It does not mean it must end but it must be reviewed before we renew it. That would be a positive step in the right direction.
#JonathanOBrien	unknown-#JonathanOBrien-party	unknown-#JonathanOBrien-dob	unknown-#JonathanOBrien-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	17	The Chairman might comment on this. The committee has done extensive work-----
#RichardBoydBarrett	unknown-#RichardBoydBarrett-party	unknown-#RichardBoydBarrett-dob	unknown-#RichardBoydBarrett-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	18	Dr. Healy is ahead of the game there.
#ColmBrophy	unknown-#ColmBrophy-party	unknown-#ColmBrophy-dob	unknown-#ColmBrophy-constituency	speech	unkown-language	2019-06-19 00:00:00	Business of Select Committee	19	I was going to say that this pretty much mirrors our report in terms of recommendations.
