#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	0	The revelations made known by the Taoiseach to the House yesterday in respect of Mr. Justice Flood's resignation have added greater confusion to the issue, and give the impression that the Taoiseach has misled the House. The Attorney General knew of and attended a meeting on 26 May with two other judges in relation to the costs issue on the pending resignation of Mr. Justice Flood. Did the Attorney General inform the Taoiseach of this meeting and, if so, did that not mean that the Government was then in possession of the information that Mr. Justice Flood intended to resign? Why did the Taoiseach give the impression last week, in answer to a number of parties in the House, that he had only just become aware of this information, and that in his breathless rush to impart that information he did not have time to deal with the legal intricacies of what was contained therein? Does this not mean that the information in regard to Mr. Justice Flood saying he wished and intended to retire as chairman of the tribunal was made known to the Taoiseach and the Government through the Attorney General on 26 May, and by formal letter on 28 May, and that the Taoiseach had this information for a month, and that this House and its Members were not so informed by the Government? Does that not constitute a misleading of the House and the withholding of relevant information about the most historic tribunal of recent times?Can the Taoiseach account for the fact that the Attorney General does not appear to have brought this information to his attention, or, if he did so, that the Taoiseach did not make the House aware of it? Why did the Taoiseach give the impression last Tuesday that he had not become aware of this information until the Cabinet meeting earlier that morning? Does it not mean that the Taoiseach's handling of this issue has been confused, and that he has misled Dáil Éireann?
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	1	In all the aspects of the tribunals with which I have dealt, I have always been absolutely upfront with the House.
#EmmetStagg	unknown-#EmmetStagg-party	unknown-#EmmetStagg-dob	unknown-#EmmetStagg-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	2	Except this one.
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	3	I have given all details on all issues. That is why, last week, shortly after we had for the first time discussed the legal issues with the Cabinet, I raised another question involving a different tribunal. In my view, that was the right thing to do. In response to Deputy Kenny's questions, the information I gave yesterday did not cause confusion, but contained the full facts of all of the letters. I could have argued that some of them should perhaps not have been released, but I issued all of them, and I thought that was extremely helpful. At every turn and twist of this matter over the last week or ten days, I have given, either to this House or to the media, the facts as they have moved on.Deputy Kenny asked me if I was aware of the Attorney General's meeting and of the letter he received. The answer is "yes". I was so aware. I was informed by the Attorney General that he had had a meeting with the tribunal and was expecting a letter from it. I received a copy of that letter on 29 May and passed it to the Secretary General of my Department. However, on 30 May I was made aware of the fact that after discussions between the Attorney General and a member of the tribunal's legal team, the Attorney General was requested not to circulate the letter of 28 May to the Clerk of the Dáil and the Clerk of the Seanad.
#RuairiQuinn	unknown-#RuairiQuinn-party	unknown-#RuairiQuinn-dob	unknown-#RuairiQuinn-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	4	On whose authority?
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	5	This request was made because of a legal error on page one of the letter in relation to a query from the Attorney General as to whether the letter itself was to be copied to the Clerks. The Government was simply complying with the request of the tribunal not to circulate the letter of 28 May.The media have already examined this matter, and I suggest the Members of this House might also do so. They will see that letters from the tribunal are always either marked as being circulated to the Clerks of the Dáil or the Seanad, or else contain a request for the letter to be circulated. In this case, the tribunal initially asked that the letter be circulated, following which a member of the tribunal's legal team discussed the matter with the Attorney General and requested that the letter not be circulated.I resent the suggestions that I have in any way misled the Dáil on this or any other aspect.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	6	Hear, hear.
#Bertie	unknown-#Bertie-party	unknown-#Bertie-dob	unknown-#Bertie-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	7	I do not want to get involved in a blow by blow account of dealings with the tribunal's legal team. While that might not be right for me, I cannot take a position of certainty when people were in a state of flux for whatever reason – I might know those reasons but do not want to go into them. I almost went out and did a press conference in Cork last week, after I had been informed that Mr. Justice Flood had changed his mind, that he was going to deal with the costs as requested by the Minister for the Environment, Heritage and Local Government, Deputy Cullen, and was going to stay on for another two years.I was within ten minutes of doing a press conference when I got a call from the Attorney General to say that position had changed. I do not want to go into that either, because I spelt out those facts yesterday. However, I will not take the allegation that I misled anybody on this issue. In fact I have been totally upfront on it. Deputy Kenny did not say it in a very strong way, and I appreciate that, but I will not leave it on the record of the House. While the Deputy is entitled to ask questions, in no way have I misled the House. If I were to give a blow by blow account, I would be here answering questions this morning about trying to undermine the tribunal in some way and I am not going to do that either.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	8	Hear, hear.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	9	Does this not mean that all the mishandling of the past month has resulted in Mr. Justice Flood having hardened his attitude to the point where the taxpayer could now be exposed to very serious amounts of money in respect of the costs of those who were deemed to have obstructed the hearings of the tribunal? The Taoiseach says he has been open and upfront on all matters concerning this. I have copies of the letters between Mr. Justice Flood and the Attorney General, which were circulated last evening to journalists. The leaders of the Opposition parties got no copies of this correspondence. How can the Taoiseach say that he has been open and upfront in all the details of this matter with the Opposition parties and Members of the Dáil?
#OliviaMitchell	unknown-#OliviaMitchell-party	unknown-#OliviaMitchell-dob	unknown-#OliviaMitchell-constituency	speech	unkown-language	2003-07-02 00:00:00	Prelude	10	It is our tribunal
