#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	0	Before coming to the Order of Business, I propose to deal with a number of notices under Standing Order 31.
#JackieHealyRae	unknown-#JackieHealyRae-party	unknown-#JackieHealyRae-dob	unknown-#JackieHealyRae-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	1	I wish to seek the adjournment of the Dáil under Standing Order 31 to raise a matter of national importance, namely, the scandalous proposal by the Minister for Health and Children to take 15% of a person's estate in payment for his or her nursing home care.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	2	Hear, hear.
#JackieHealyRae	unknown-#JackieHealyRae-party	unknown-#JackieHealyRae-dob	unknown-#JackieHealyRae-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	3	Thousands of families could be forced to remortgage or sell their homes after the death of their parents——
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	4	Deputy Healy-Rae without interruption.
#DavidStanton	unknown-#DavidStanton-party	unknown-#DavidStanton-dob	unknown-#DavidStanton-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	5	We are not interrupting.  We are encouraging.
#JackieHealyRae	unknown-#JackieHealyRae-party	unknown-#JackieHealyRae-dob	unknown-#JackieHealyRae-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	6	——to pay for care in their parents' final years, particularly if both parents fall ill and cannot be taken care of at home.  The elderly have contributed to the country by paying taxes and building the economy to a high level.  Why should this burden be placed on them in their later years?  I object to this proposal in the strongest manner and publicly condemn it.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	7	Hear, hear.
#EmmetStagg	unknown-#EmmetStagg-party	unknown-#EmmetStagg-dob	unknown-#EmmetStagg-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	8	Senator Paddy Burke was in favour of it last week.
#JohnODonoghue	unknown-#JohnODonoghue-party	unknown-#JohnODonoghue-dob	unknown-#JohnODonoghue-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	9	They would be lucky.
#SeamusHealy	unknown-#SeamusHealy-party	unknown-#SeamusHealy-dob	unknown-#SeamusHealy-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	10	It is not a laughing matter, Minister.  Deputy Healy-Rae is 100% right.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	11	Will Deputy Healy allow Deputy Finian McGrath to speak without interruption?
#TomKitt	unknown-#TomKitt-party	unknown-#TomKitt-dob	unknown-#TomKitt-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	12	In the same accent, please.
#FinianMcGrath	unknown-#FinianMcGrath-party	unknown-#FinianMcGrath-dob	unknown-#FinianMcGrath-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	13	I could not follow that.  I seek the adjournment of the Dáil under Standing Order 31 to discuss a matter of national importance and concern, namely, the delay in publishing the results of the investigation into the Stardust fire tragedy.  I call on the Taoiseach and the Tánaiste to meet the Stardust relatives, to support them in their efforts to deal with this urgent national issue and to end the delay.
#PaudgeConnolly	unknown-#PaudgeConnolly-party	unknown-#PaudgeConnolly-dob	unknown-#PaudgeConnolly-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	14	I seek the adjournment of Dáil Éireann under Standing Order 31 to discuss the following matter of urgent public and national concern, namely, the failure of the Department of Health and Children for more than two and a half years to appoint a chief dental officer, leading to major delays in the provision of publicly funded dental treatment and oral surgery services for children and, in particular, special needs patients with complex dental needs, and the deficit in planning future oral health strategy.  I call on the Minister for Health and Children to expedite the appointment of a chief dental officer as a matter of urgency to ensure that oral and dental services are not diminished further.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	15	In accordance with the terms of Standing Order 31, I seek the adjournment of the Dáil to discuss the following specific and important matter of public interest requiring urgent attention, namely, the murder of another man in the Dublin inner city area last night, which brings to 24 the number of gun murders this year, and the need for the Government to get a grip on the situation and for the Taoiseach to take charge of the situation and agree a strategy with the Garda to put gangs out of business and gangleaders behind bars.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	16	I seek the adjournment of the Dáil to discuss the following specific and important matter of public interest requiring urgent consideration, namely, the need for the Government to schedule emergency Dáil time to explain and debate its immediate and long-term strategies to bring a halt to the recent spate of violent killings — five in the past six days — including the steps being taken to bring those responsible to justice, to prevent further killings and to ensure the safety of local communities from harm and fear over the Christmas period.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2006-12-14 00:00:00	Prelude	17	Hear, hear.
