#BarryCowen	unknown-#BarryCowen-party	unknown-#BarryCowen-dob	unknown-#BarryCowen-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	0	Following the disclosure of the debacle that was the excessive costs associated with the establishment of Irish Water, particularly the €85 million spent on consultants, the Government, including Ministers of both party persuasions, committed last January to openness and transparency. It was indicated that there would be a commitment to engagement with the public in the Commission for Energy Regulation's consultation process on the pricing for the provision of water services for homes. Unfortunately, while the process has begun, the submissions of Irish Water and the Government have yet to be lodged, let alone published. Did the Minister bring to the Cabinet some weeks ago a wide range of proposals dealing with the content of my question, including proposals on the amount of public subvention, the first-fix policy, the low-income subsidy, the level of free allowance and the manner in which Irish Water will bill those who have yet to be furnished with a meter?
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	1	The Government is considering the proposals I have brought to the Cabinet on the funding model for Irish Water, including on the level of Government subvention. Proposals include measures on the affordability of water charges, in particular the provision of a free allowance in accordance with the commitment in the programme for Government. Full details will be announced following the completion of consideration by the Government. The Water Services (No. 2) Act 2013 provides that Irish Water is required to submit its water charges plan to the Commission for Energy Regulation for approval. The free allowance and the level of funding to be provided by the Government for Irish Water will have a strong bearing on the net charges to be met by households. Consequently, decisions on these matters will provide greater visibility on the expected level of charges in advance of the final determination of all aspects of the water charges plan by the Commission for Energy Regulation. The commission will announce its decision on the approved water charges plan in August. As part of the metering programme, my Department is working in conjunction with Irish Water on a proposal regarding customer-side leakage, the implementation arrangements for which will have to be worked out with Irish Water.
#BarryCowen	unknown-#BarryCowen-party	unknown-#BarryCowen-dob	unknown-#BarryCowen-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	2	Considering the delay which has ensued, in spite of commitments given by several members of the Cabinet, an example of which was the comments made by the Tánaiste last week to the effect that this should have happened months ago, will the Commission for Energy Regulation be allowed extra time during which the public might be permitted to make submissions as part of the consultation process? Given the issues of the poor quality of water in many areas, the level of leakage and the fact that the Government and Irish Water on its instruction have yet to publish a complete audit of the system and a road map for reinstatement and rectification works and the status of progress in Dublin, the submissions of the Government and Irish Water are required to be published before people would be in a position to make a submission. They may believe the Government's proposals fail to address the deficiencies in certain parts of the country, the issue of hard water and its effect on white goods and the effect on households and their ability to pay the standing charge and the level of the free allowance. They might not meet with their approval.Considering the Government's delay and procrastination in this area, will the Minister make a commitment to the public, and to this House, that the chief executive officer will be allowed extra time as it did not adhere to the initial commitments on the timetable put in place?
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	3	I agree with Deputy Cowen that a huge level of investment is required throughout the country. Approximately 80 water and wastewater plants are in need of urgent remediation because they are subject to potential European Commission infringement proceedings. Approximately 1 million householders are at risk because water quality is not up to scratch, and there are people on boil water notices. We are establishing a commercial semi-State body to allow us borrow money on the markets to double the amount of investment required and spend €10 billion over the next 12 years making sure that we put matters right. We are trying to make up for the under-investment in the good times. The regulator will have adequate time for public consultation. He has already started the public consultation process regarding the tariff design and structure and when the Government makes the decision shortly on its submission on the free allowance affordability measures, and all the other issues we are required to do under the legislation, that will be put out to public consultation.
#BarryCowen	unknown-#BarryCowen-party	unknown-#BarryCowen-dob	unknown-#BarryCowen-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	4	In the absence of the Minister's own submission, it is very difficult for the public to make a qualified submission, let alone ourselves and many others who have an interest in this issue. Has Irish Water made a submission and, if so, would the Minister instruct it to make that public to afford people an opportunity to ascertain the intentions of Irish Water with regard to these areas? In that way the public would have a better sense of engagement in this process in so far as their objections, concerns or willingness to engage in the process might be recognised more openly and honestly by the Government.
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	5	Irish Water is engaged with the Commission for Energy Regulation regarding its submission. Regarding its costs structure, establishment costs and investment requirements in the future, that is part of the process the regulator will have to scrutinise carefully on behalf of the customer. That is going on at the moment. The final piece of the jigsaw to allow the open and transparent system in regard to the charges will happen very shortly. Under the Act the Government will be making the necessary submission to the regulator to give the full picture but the Irish Water dimension of it is in place with the Commission for Energy Regulation, and it is fully engaged in the establishment process.
#BarryCowen	unknown-#BarryCowen-party	unknown-#BarryCowen-dob	unknown-#BarryCowen-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	6	Can its submission be published?
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	7	It has made its submission. It is a matter for the regulator to publish all these matters in due course.
#BarryCowen	unknown-#BarryCowen-party	unknown-#BarryCowen-dob	unknown-#BarryCowen-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	8	Would the Minister agree it should be published?
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	9	It is a commercial semi-State body. The board makes those decisions.
#BrianStanley	unknown-#BrianStanley-party	unknown-#BrianStanley-dob	unknown-#BrianStanley-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	10	I raise this question about wind farms because it is fair to say the Government put the cart before the horse in this matter. We did not have the cost-benefit analysis on the export projects, the new guidelines on planning and the Government's Green Paper on energy policy. I put down this question because of the widespread opposition to large, industrial-scale wind farms in the midlands in counties like Laois, Offaly, Westmeath in particular, and Kildare. I hope the Minister can give me some reassurance that the Government's decision not to oppose the Bill I brought forward in the Dáil some weeks ago, which would not stop the development of wind farms but would regulate them properly, was not simply a cynical ploy to get us by until after the local elections on 23 May.
#JanOSullivan	unknown-#JanOSullivan-party	unknown-#JanOSullivan-dob	unknown-#JanOSullivan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	11	As I indicated during the discussions on the Private Members' Wind Turbine Regulation Bill 2014, the Government did not oppose the Bill on Second Stage on the basis that some of the issues raised in the Bill are already under consideration. However, the Government will need to consider the outcome of the consultation processes on the revision to the 2006 wind energy development guidelines and the renewable energy policy and development framework as this Bill progresses, and it is important that the outcome of these processes is not pre-empted.
Some 7,500 submissions have been received in response to the public consultation I commenced in December of 2013 on proposed revisions to the existing 2006 wind energy development guidelines focusing specifically on the issues of noise, setbacks and shadow flicker. These draft revisions propose the setting of a more stringent day and night noise limit of 40 decibels for future wind energy developments; a mandatory minimum setback of 500 m between a wind turbine and the nearest dwelling for amenity considerations; and the complete elimination of shadow flicker. In regard to section 3 of the Bill, which requires the location of proposed wind turbines to be identified in county development plans, I can confirm that this matter is already addressed in the existing wind energy development guidelines, which include a recommendation that development plan maps identify the key areas within the planning authority's functional area where there is significant wind energy potential and where, subject to certain criteria, such development would be acceptable in principle. In addition, many local authorities have produced local renewable energy strategies, which address the location of wind turbines in considerable detail.
#BrianStanley	unknown-#BrianStanley-party	unknown-#BrianStanley-dob	unknown-#BrianStanley-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	12	I thank the Minister of State for her reply. The problem is that the Minister of State is bringing forward guidelines to the effect that planning applications must have regard to local county development plans. I have heard the man sitting beside the Minister of State speak here many times in the past two years about the need to give power back to local councillors. We now have an opportunity not to stop developments but to ensure they are located sensibly, having regard to the provisions and areas zoned in county development plans for the location of wind farms. Those of us who were councillors previously understand the meaning of the term "having regard to"; it means nothing. It means one can read it and then turn over the page. The guidelines must state that it has to be consistent with the locations zoned in the county development plans; in other words, if a wind farm is to be located in any county, be it Cork, Laois, Offaly or wherever, when the planning application is made, An Bord Pleanála, the developers and the county council executive must only consider areas consistent with those areas zoned in the county development plan. That is the key issue. There is no point talking about reform of local government or electing the 940 people and not giving them any powers. There will be 940 capable people elected to do this job, and we should give them the power to do it on behalf of their communities.
#JanOSullivan	unknown-#JanOSullivan-party	unknown-#JanOSullivan-dob	unknown-#JanOSullivan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	13	To answer the Deputy's point directly, as I have stated already, the matter is addressed in the existing wind energy guidelines, which include a recommendation that development plan maps would identify key areas.
#BrianStanley	unknown-#BrianStanley-party	unknown-#BrianStanley-dob	unknown-#BrianStanley-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	14	And requirements.
#JanOSullivan	unknown-#JanOSullivan-party	unknown-#JanOSullivan-dob	unknown-#JanOSullivan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	15	The larger ones will be going directly to An Bord Pleanála. An Bord Pleanála does have regard to the various planning laws and guidelines in terms of making decisions. With regard to the Deputy's point on the Green Paper, the Minister for Communications, Energy and Natural Resources, Deputy Rabbitte, will be publishing that shortly. On the guidelines, there is a large number of submissions and it will be quarter three of this year when we expect to finalise the guidelines.
#BrianStanley	unknown-#BrianStanley-party	unknown-#BrianStanley-dob	unknown-#BrianStanley-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	16	Today is 1 May and we still do not have the cost-benefit analysis on the export projects, the new guidelines on planning, and the Government Green Paper. The Minister of State has just told me that the Minister, Deputy Rabbitte, will publish the Green Paper shortly. I have heard that here a number of times. We have put the cart before the horse in that regard. On the issue of planning, and this is an important point, the Minister of State said that An Bord Pleanála "does have regard to" but that is the key point. An Bord Pleanála should be bound to only make decisions that are consistent with local county development plans. I emphasise that point to the Minister because it is important. It is not to veto projects but to make sure we get this right. Regarding the commitment on setbacks of 500 m, some of the wind turbines planned in the midlands are so tall they might fall on a house. Five hundred metres is a short distance if there are turbines 185 m in height. That setback must be broadened, and I ask the Minister to examine that. She cannot simply set a distance of 500 m because it depends on the height of the turbine. A pro rata element must be put in the guidelines. Will the Minister confirm that for me? I welcome the Minister's commitment on shadow flicker. We want the noise levels to be below those set out in the World Health Organization's 1999 guidelines. The Minister might confirm that.
#JanOSullivan	unknown-#JanOSullivan-party	unknown-#JanOSullivan-dob	unknown-#JanOSullivan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	17	First, we are proposing an improvement with regard to noise levels. Second, I will take note of the various submissions.Third, with regard to setback, they are now statutory guidelines, so we are strengthening the guidelines in that regard. We will take account of the submissions-----
#BrianStanley	unknown-#BrianStanley-party	unknown-#BrianStanley-dob	unknown-#BrianStanley-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	18	Pro rata.
#JanOSullivan	unknown-#JanOSullivan-party	unknown-#JanOSullivan-dob	unknown-#JanOSullivan-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	19	-----and I do not wish to pre-empt what the decision will be. To clarify the matter of the Green Paper, that was approved by the Government yesterday and I presume it will be published in the near future. It is obviously a matter for the Minister, Deputy Rabbitte, and the Department of Communications, Energy and Natural Resources.
#FinianMcGrath	unknown-#FinianMcGrath-party	unknown-#FinianMcGrath-dob	unknown-#FinianMcGrath-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	20	Will the Minister provide more dog waste bags in public places, in view of the fact that dog litter is now a major problem? In recent weeks candidates have been canvassing in the local elections. Incidentally, there is an excellent candidate, Councillor Damian O'Farrell, running in the Clontarf ward.
#BarryCowen	unknown-#BarryCowen-party	unknown-#BarryCowen-dob	unknown-#BarryCowen-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	21	Pooper scooper extraordinaire.
#FinianMcGrath	unknown-#FinianMcGrath-party	unknown-#FinianMcGrath-dob	unknown-#FinianMcGrath-constituency	speech	unkown-language	2014-05-01 00:00:00	Ceisteanna - Questions	22	We hear about water charges and household charges, but dog litter is another issue that is under the radar. Many parents with young families are very concerned about the amount of dog litter in our parks and on our footpaths. They are afraid to let their children out to play on the greens or to walk along the paths. This is a very serious issue so will the Minister do something about it?
