#BernardJDurkan	unknown-#BernardJDurkan-party	unknown-#BernardJDurkan-dob	unknown-#BernardJDurkan-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	0	Apologies have been received from an Cathaoirleach, Deputy McGuinness. I welcome members and any viewers who may be watching the proceedings on Oireachtas TV of the Select Committee on Finance, Public Expenditure and Reform, and Taoiseach.I welcome the Minister and his officials, as well as the members to the sitting. Turning to the notice on privilege, members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the Houses or an official either by name or in such a way as to make him or her identifiable. Parliamentary privilege is considered to apply to the utterances of members participating online in a committee meeting when their participation is from the parliamentary precincts. For this purpose, the parliamentary precincts are considered to be the accommodation assigned to the member in the Leinster House complex or its vicinity, another location in Leinster House or Leinster House 2000. Please note that members may participate remotely in proceedings held in public only from the locations listed above, as privilege for their utterances only applies when participating from those locations. It is also important to note that members must be physically present to participate in the committee. In other words, they cannot vote from their online location.  I welcome the Minister for Finance, Deputy Donohoe, and his officials. The format of the meeting and its timetable is as follows. To provide for the smooth running of the meeting, any members acting in substitution for a member of the committee should formally notify the clerk now, if they have not already done so. Divisions will be taken as they arise. Members attending this meeting in accordance with Standing Order 106(3) should be aware that pursuant to that standing order, he or she may move his or her amendment and request a division but cannot participate in the voting on the amendment. This applied to members attending this committee in accordance with the standing order, that is, Deputies who are not members of this committee. It is proposed that we end the meeting at 4 p.m.
#BernardJDurkan	unknown-#BernardJDurkan-party	unknown-#BernardJDurkan-dob	unknown-#BernardJDurkan-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	1	Amendments Nos. 1 and 2 are related and will be discussed together.
#RichardBoydBarrett	unknown-#RichardBoydBarrett-party	unknown-#RichardBoydBarrett-dob	unknown-#RichardBoydBarrett-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	2	I move amendment No. 1:In page 9, between lines 18 and 19, to insert the following:
“Reports
2. Within 3 months of the passing of this Act, the Minister shall lay a report before the Dáil, on the cost to the exchequer of abolishing the USC and replacing it with a High Income Social Charge of 10 per cent on all earnings over €90,000.”.Once upon a time, Fine Gael was for the abolition of the universal social charge, USC, because the party recognised that it was an austerity tax introduced following the economic collapse in 2008. It was a hefty burden and imposition placed on ordinary workers to pay for an economic and financial crisis that was not their fault. The Government has since abandoned, or at least Fine Gael has, the commitment to get rid of the USC. It is something that, justifiably, still provokes much anger among ordinary workers, because they are still paying what is, in effect, an austerity tax. It is our view, therefore, that the USC should go for those earning less than €100,000 annually. We have long held this position.  We do believe that we must pay for these things. We are very financially prudent on the socialist left and we believe that if something is going to cost the State revenue by reducing the tax burden on ordinary workers, then it must be paid for in some other way. We believe it should be paid for by introducing a higher-income social charge on those earning more than €100,000, as well as other measures that we proposed in our alternative budget. These included the introduction of new taxation bands for those earning more than €100,000. This is how the deficiency in lost revenue could be fairly paid for. Earning more than €100,000 is a major privilege. Our view is that people earning this kind of money, and more, should pay a higher tax contribution to alleviate the burden on ordinary workers, who are still suffering as a result of the introduction of the USC. It is even more the case now, obviously, with the cost-of-living crisis people are facing. I will conclude by remarking on one point that is not directly relevant to this legislation but that is relevant in the round because any tax measure must be related to tax equity and fairness in the tax system. It is interesting to note that income tax receipts amount to €30 billion in revenue, I think. I think it is the biggest tax receipt the Government has. I do not know what total income earnings are because I did not have time to fish out that figure. It is considerably less than, for example, total corporate earnings in any given year, but the tax contribution of the corporations is much less than €30 billion. Income earners pay €30 billion in tax, but the Government is projecting there will be €20 billion in tax revenue from corporations, even though the corporate sector earns much more in gross earnings.  In other words, and to cut a long story short, workers earn less and pay more in tax, whereas corporations earn much more and pay less in tax, overall in the round. This is wrong as well. Often, the beneficiaries of big corporate profits are precisely these high earners who get additional income from what they may derive from having shares in companies and so on and so forth. We are trying to redress the imbalance in this regard by alleviating the tax burden on ordinary workers and replace it with higher taxes on the highest earners, as well as through the introduction of a whole range of other measures that we propose to try to redistribute wealth through the tax system and to close the gap between ordinary workers and the very rich in our society. This is the logic of our proposed amendment and we think this should be examined in a report by the Government.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	3	I thank Deputy Boyd Barrett. I thank the committee in advance for its work and co-operation in dealing with this important legislation. I recall the similar amendments brought forward during last year's Finance Bill. We discussed many of the issues the Deputy has just touched on and I am pleased to do so again in the context of this Bill because important political matters are at stake here. Some of the issues I will address in my response to the Deputy refer to the Exchequer costs of the proposal, what it would mean for the maintenance of our tax base and the effects a change like this could have on the competitiveness of our tax code and the competitiveness of our country overall. Regarding the proposal submitted by the People Before Profit Deputies to abolish the USC, it is estimated that this would cost approximately €5 billion in a full year. This suggestion to replace the USC with a high-income social charge of 10% on all earnings over €90,000 would yield approximately €2 billion in a full year. There would, therefore, be a shortfall in the region of €3 billion. In fact, it is estimated that it would be necessary to place an additional charge of around 26% on all earnings over €90,000 to raise an equivalent level of revenue for the proposal to be cost neutral to the Exchequer. Turning to the Rural Independent Group’s proposal to abolish the USC for those earning less than €70,000 and replace it with a national solidarity tax on the incomes of those earning over €150,000 per year, I note that the Deputies have not specified the rate of the new tax that would apply under this proposal. It is estimated, however, that the removal of the application of the USC on all incomes below €70,000, as suggested, would cost in the region of €1.84 billion in a full year.Assuming no other policy changes to the structure of the charges, it is likely that if the new tax took the form of a new USC rate for those earning more than €150,000, it would need to be as high as 24% for PAYE workers and 27% for self-employed income earners in order to raise the same level of revenue for the Exchequer and ensure this is a cost-neutral proposal. However, these estimations do not take account of any change that could result from the significant increase in the marginal rates of taxation. By way of example, this proposal would have the effect of increasing the top marginal tax rates from 52% to 68% and 55% to 71% for PAYE and self-employed income earners, respectively. As the Deputies will appreciate, high marginal tax rates could also cause harm to our international competitiveness. The considerable progress that has been made in recent years in attracting foreign direct investment to our country cannot be taken for granted, particularly given the challenges in the international arena that confront us at present. Furthermore, abolishing the USC in its entirety or exempting those earning up to €70,000 per year would considerably erode the tax base. Ireland has one of the most progressive personal income tax systems, which plays a crucial role in the process of income redistribution. Our redistributive tax system has been acknowledged by the IMF, the OECD and the ESRI. Deputies will recall that during the economic crisis, it reached a point where 45% of all income earners were exempt from income tax. That was unsustainable. It placed an unfair burden on those earners who were contributing to the income tax base and exposed the vulnerability of the income tax system to economic shocks. It is my view that a broad-based, progressive income tax system is appropriate. I note that Deputies have also suggested raising money from companies whose net profits are in excess of €1.5 million per year. This could have serious consequences for the competitiveness of our corporation tax regime. It is worth acknowledging that a very large number of domestic Irish companies would come into the tax bracket. More broadly, our corporate tax regime has been built on certainty and predictability for multinational companies that have made Ireland their home. It is important to point out that these enterprises support our economy with high-value jobs. Also, as members are aware, these international companies provide substantial tax revenues across all tax heads, including income taxes, which are critical to the provision of public services and our capital investment. To impose additional levies on corporate profits would involve increased complexity and would change the attractiveness of our corporate tax offering. It is impossible to accurately predict the effect that changes to the rate would have on the behaviour and decisions of large, multinational or domestic companies. This uncertainty prevents a reliable estimate being made of any yield that might accrue to the Exchequer. While it is possible that imposing such a levy could lead to theoretical gains, particularly in the short term, it could also potentially lead to lower levels of economic activity and to companies passing the additional tax burden onto their staff, customers, suppliers and investors.
#MattieMcGrath	unknown-#MattieMcGrath-party	unknown-#MattieMcGrath-dob	unknown-#MattieMcGrath-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	4	The Rural Independent Group is calling for a report to be produced after the Act has been implemented so we can examine it and produce a report on how we would lessen the impact on lower paid workers and try to get more balance for higher paid workers. We have a figure of more than €150,000 in this regard. I do not think there is anything damaging to our European competitors or any of the other aspects pointed out by the Minister in having a report and an examination of how we go about this. There must be some mechanism so we can have room for manoeuvre. It is the same with regard to the taxation of companies earning profits in excess of €1.5 million. All we ask for is that after three months of the Finance Bill being enacted, we have a report laid before us so we can discuss and debate it. Every year, motions are tabled to get rid of the USC, which we were promised would be temporary. This was also the case with the insurance levy all those years ago for PMPA. We know what happens. We are looking to unearth the minutiae to determine why we cannot do so. It is not simply a case of saying that we cannot do so and then going away home until next year when it will not happen either. We want to have a bit of wriggle room for people who are savagely impacted by the cost of living and have carbon taxes on top of everything else they had already this year. We met the ESB yesterday. It is one of the energy companies and a company for which I have great respect. It told us that despite the profits it has made, it is not allowed by the regulator, European law or Irish law to do anything to help the people in desperate need. We need to be able to have explanations and in-depth analysis of the reasons we cannot change the system. It is not a case that we just take it or leave it. There must be some flexibility or room for manoeuvre. If there is not, we need the report to explain why not. Surely it is the job of the Department and the officials to explain why it has to be the same. We tabled a motion to get rid of the USC and it did not happen. We want a report laid before the House within three months of the legislation being enacted, which will probably be in four months' time. If it is delayed, that is fine but we want a report and we want to discuss and debate it and try to get a better understanding. We want it explained to the people why they have to pay this tax when they were told it would be temporary but it is not. We want to look after those most hard hit who are the lower paid. We describe as well paid those who earn more than €150,000. They should be expected to pay more. We are not trying to hunt away foreign direct investment. We are not being reckless. We are asking for a report and an examination and nothing else to see whether we can make some progress.
#PearseDoherty	unknown-#PearseDoherty-party	unknown-#PearseDoherty-dob	unknown-#PearseDoherty-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	5	I do not support either of the amendments. Our position on the USC is well laid out. More lower income earners need to be taken out of the tax bracket and we will table amendments on Report Stage on this. It would also be a better way to provide a tax break for workers and would not do what the Minister has done, namely, exclude the large number of almost three quarters of income earners from the benefit of the most costly part of the Government's tax package. Given that there is a debate on the two amendments that have been tabled, I will speak on them. I heard what the Minister said about the cost of this being €5 billion. I agree with him because that is exactly the charge I put to him when he campaigned to abolish the USC. Will the Minister inform the committee on whether he campaigned to abolish the USC? Did he acknowledge at that time that it was an emergency measure? Where was he going to get the €5 billion when he abolished the USC as he promised?
#GeraldNash	unknown-#GeraldNash-party	unknown-#GeraldNash-dob	unknown-#GeraldNash-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	6	The Labour Party does not support either of the amendments for the same reason we outlined this time last year when discussing very similar amendments. As the Minister noted, the USC raises a significant amount of revenue to be spent on the public services on which we all depend. Those on low and middle incomes especially depend on quality public services. There is an onus, of course, on anybody who is proposing to abolish the USC or to adapt or amend the way in which it works to identify ways in which that gap could be plugged. I appreciate that Deputy Boyd Barrett has made efforts to do so in the amendment he has tabled. The USC is the very definition of a progressive tax. There are very few hiding places for money in terms of the USC. This is one of the good and positive aspects of it. There is no doubt that it is an imposition on working people. This is clear. I do not want to use the word "burden" and I never use it with regard to tax but efforts have been made over the years to reduce the cost, if we can describe it as such, for working people. Earlier in the Chamber we had a discussion in response to a question I tabled on the PRSI threshold that applies to workers on the national minimum wage. Efforts have been made over the years to reduce the USC for the very lowest paid in our society.That is the right thing to do. We will not support this amendment. In fact, the best way to support working people who are in difficult circumstances is to use the resources we have, and can generate in a vibrant economy, to invest in the public services on which we all depend. 
#RichardBoydBarrett	unknown-#RichardBoydBarrett-party	unknown-#RichardBoydBarrett-dob	unknown-#RichardBoydBarrett-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	7	I will reply to the Minister's point in response to our suggestion of a higher income social charge to replace revenues from the USC, which People Before Profit believes should be abolished because it was an austerity tax and an unfair imposition on workers that has massively increased the tax burden on ordinary workers ever since it was introduced. Notwithstanding some reductions and tweaks, the tax contribution of ordinary workers jumped significantly as a result of the USC. That burden is overwhelmingly carried by ordinary workers. We want to remove that burden but we need to replace it. As I said, and I will make it clear to the Minister, we are not only proposing a higher income social charge in order to replace those revenues. In our alternative budget, we also argue for additional tax bands for those who earn in excess of €100,000, as well as the higher income social charge. The Minister may have read our proposal. In fairness, I think he reads our budget submissions. We propose to make up the €2.5 billion gap there would be after we introduce the higher income social charge by having four new bands on those higher earners. These are a 50% rate on earnings between €100,000 and €150,000, 55% on those earning €150,000 to €200,000, 60% on earnings between €200,000 and €275,000, and 65% on earnings more than €275,000, which would raise an additional €2.5 billion. That is how we intend to do it. Our alternative budget also goes into a whole range of other measures to target the wealth and income of the very highest earners, as well as increasing the tax contribution of the major corporations. For our part at least, we fully intend to balance the books but redistribute the tax burden in order to create greater equity in the tax system and to reduce the gap between rich and poor. I wanted to say that for the record. I will point out that there is also a significant inequity. The elephant in the room is the huge gap between the tax contribution ordinary workers make relative to the income they earn, as against the tax contribution corporations make relative to the income they earn. There is a huge gap. The Minister has projected €20 billion in corporate tax receipts this year. I know he does not have all the figures and they are delayed by a year or so, but insofar as he is able to project €20 billion in corporate tax receipts for 2022, I am curious to know, and I assume he has a projected figure for, what the gross trading profits were that he extrapolated from for 2022. The last available figures indicate that those profits were €193 billion up to 2020, which was a massive jump of approximately 140% over the past decade. Presumably, the Minister had some sort of projected figure for what gross, pre-tax trading profits were that could lead him to project €20 billion in corporate tax receipts. What he will find, however, if he does have that figure, is that the gross pre-tax earnings of corporations dwarf the total amount of income earned by ordinary workers. The tax contribution of corporations is €20 billion whereas the tax contribution of workers in terms of their income is €30 billion. To put it simply, workers, collectively, earn less and pay more than corporations by a very considerable margin. It just seems like basic fairness and justice that the cleaner who works at Google should not pay more, proportionately, of her income in tax than the shareholders in the corporation that is making extortionate profits. That is what tax justice means to me and that is the logic behind our proposals.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	8	I thank the Deputies for their questions. I will begin with the Deputies who spoke first and will come to Deputy Boyd Barrett shortly. I accept that Deputy Mattie McGrath is simply looking for a report on these matters. The reason I am not in a position to agree to his amendment is the issues he is calling for a report on are covered every year in the tax strategy group papers. We already do a lot of this work. We publish the matters the Deputy referred to nearly every year, including the future of income tax and the USC. That work is done by that group in an open way for the Deputy and others to consider. The reason I believe a report in the Finance Bill is not appropriate is not only because it repeats work we have already done. I also do not want to give an indication that these are policy measures I am considering implementing. I believe that would harm our economy. I have heard the Deputy speak very positively about the number of international employers located in his constituency that employ his constituents. In my view, if we give an indication that there was going to be an increase in personal tax for incomes above a certain level, I am convinced that would affect our ability to keep those jobs in Ireland. I see the level of competition that goes on between our peers, IDA Ireland, and other governments for the investment we have in Ireland. A change in tax as proposed by the Deputy would harm that. To give an indication that we are considering doing that in a Finance Bill, is not the right signal to send out. As Deputy Doherty well knows, I campaigned in 2016 to abolish the USC. I may well have described it as an emergency tax at that point. What has happened to lead me to the view I now have is the degree to which the world has changed. I held the view in 2016 and 2017 that we would go back to a degree of economic and political normality. I did not think we would move into a world in which Brexit was going to happen and that we would see such changes in global and American politics. That has made me even more aware that small, open economies like Ireland's have to able to balance their books. Therefore, the policies I now advocate are appropriate in a world that has changed. On what I advocated six years ago as to how abolition of the USC would be paid for, one of the main ways in which we thought it could be paid for at that time was through additional growth that would happen within our economy. I will not now bank on additional growth to pay for structural changes, such as the abolition of the USC, because of the volatile and changing world we are in. I agree with Deputy Nash's point regarding the USC being a progressive part of our tax code. It is why, in the different budgets I have done, I have made some changes to the USC but not very significant or big ones. I now accept it is an important way in which we collect tax. We will need it in the future, with the many pressures our economy and tax revenues now face. On Deputy Boyd Barrett's point, I will see if my officials in the course of consideration of the Finance Bill have a forecast for gross trading profits. If we have it, we will share it with him. I want to return to the point he made regarding the disparity between tax paid by low-income earners and the level of tax multinational companies are paying. I will not comment on any individual company because I do not know what level of tax it pays and it would not be appropriate for me to pick it out.Let us imagine we are in a world, which I believe we will be in shortly, where the average rate of tax for companies worth more than €750 million is 15%, because we are part of implementing an OECD agreement. I will share some figures regarding the balance between the taxation on income and the taxation on capital, which relates to the point the Deputy is making about the cleaner. Let us say the cleaner he is referring to is on €25,000 and he or she is a single person. The average level of tax to be paid on €25,000 in 2023 would be 11.3%. If the cleaner is in a company that is subject to the full implementation of the OECD arrangement, and if it is implemented in the way is currently written, the company the cleaner works for will, on average, pay tax of 15%. That is the difference. 
#RichardBoydBarrett	unknown-#RichardBoydBarrett-party	unknown-#RichardBoydBarrett-dob	unknown-#RichardBoydBarrett-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	9	It-----
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	10	I did say that is if the OECD agreement is fully implemented. Even in our current tax code, the average level of tax large corporate employers pay in Ireland is between 10% and 11%. The difference between taxation on capital and labour and profit on labour, for those on low incomes, is not as big as the Deputy would argue it to be. I read the Deputy's budget submissions - he knows I do - and I always recognise that in a static world, the figures add up. They do, in fairness to him. I am not sure if my recognising this does the credibility of the proposals harm or good but they do add up. Where he and I completely differ is that he thinks we can implement these measures without having other knock-on effects. I believe they will, which in turn would mean collecting less tax overall. I am absolutely convinced that the measures the Deputy is proposing, and I say this with respect because I respect his intentions in these matters, would have a harmful effect on our economy. We would lose jobs and be a poorer country as a result of them and ultimately collect less tax revenue. That is why I have a different view on these matters to the Deputy's good self.
#PearseDoherty	unknown-#PearseDoherty-party	unknown-#PearseDoherty-dob	unknown-#PearseDoherty-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	11	I will not go into the example the Minister gave about corporation tax and income tax. Obviously one is on profits and the other is on income and not the turnover of the company. I want to focus on the issue of USC. As I said, I do not support these amendments but I must take the Minister up on his commentary suggesting that he abandoned this policy. This was described by Fine Gael as the most important policy commitment it was giving the Irish electorate in the run-up to the 2016 general election. That is what Fine Gael argued. We all remember the posters of Leo Varadkar holding up signs saying "Abolish the USC". The Minister tweeted about it himself. It was the number one commitment. This was just a couple of years after the economy crashed, the IMF was here, and we learned the lessons of the Charlie McCreevy era about whittling down our tax base. That is when the Minister's party came up with this completely and utterly populist policy to get rid of €5 billion worth of tax. Not once, in any shred of paper, did he actually show how that would be accounted for. The reason I take this up is because the Minister and his party were wrong and they were right to do a U-turn on it. They were right to abandon it. Within a year of the election the Minister abandoned that and that was the right position. As we said at the very start, despite the fact that people would love to see reductions in taxes, you cannot get rid of €5 billion of a stable tax base and think you are just going to magic it up somewhere else, or, as the Minister said, hope for growth. That is the definition of populism. The way Fine Gael tried to get off its main commitment to the electorate in the 2016 election and erase people's memories of its members carrying these billboards about abolishing USC was by saying it would merge the USC with PRSI. Is that completely abandoned as well? The Minister got Cabinet approval and officials spent time, effort and State resources carrying out an assessment of that. That commitment was given by Leo Varadkar at the party's Ard-Fheis. Is that commitment gone or is it still under active consideration?
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2022-11-10 00:00:00	Finance Bill 2022: Committee Stage	12	I will deal with the different points that have been put to me. First, I did say that corporate tax is a tax on profit. I said that and made that clear. I stand over what I said. Looking at the average level of tax on income versus the average level of tax on profit, because of changes that have taken place in our tax code, the average level of tax large companies are paying on their profit is ahead of the average income tax low-income workers are paying. That is my argument and I think it is an important argument of equity. I want to go back to Deputy Boyd Barrett's point. If the cleaner he referred to is earning €20,000, the average income tax the cleaner pays is 5.6%. On average, large companies pay corporate tax that is a multiple of that. That is the way it should be. I stand by that argument and I have made clear that corporate tax is paid on profit. Deputy Doherty's spoke about commitments we gave in 2016 and 2017. I am happy to debate this with him. He gave a commitment to an energy price cap a few weeks ago and I do not hear him talk about that any more.
