#RoryKiely	unknown-#RoryKiely-party	unknown-#RoryKiely-dob	unknown-#RoryKiely-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	0	I have received notice from Senator Mooney that, on the motion for the Adjournment of the House today, he proposes to raise the following matter:The need for the Minister for Foreign Affairs to make a statement on reasons behind a decision of the European Union to place the Kurdish organisation KONGRA-GEL on its list of terrorist groups.I have also received notice from Senator Henry of the following matter:The need for the Minister for Education and Science to explain the reason grants to the technological section research programme have been curtailed or eliminated in some cases by his Department.I have also received notice from Senator McHugh of the following matter:The need for the Minister for Communications, Marine and Natural Resources to review the role of ALAB.I have also received notice from Senator Bannon of the following matter:The need for the Minister for Justice, Equality and Law Reform to outline the current status of nine outstanding grant applications under the equal opportunities child care programme made by community child care groups in County Longford.I regard the matters raised by the Senators Mooney, Henry and McHugh as suitable for discussion on the Adjournment and they will be taken at the conclusion of business. Senator Bannon may give notice on another day of the matter he wishes to raise.
#MaryORourke	unknown-#MaryORourke-party	unknown-#MaryORourke-dob	unknown-#MaryORourke-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	1	The Order of Business is No. 1, statements on the development co-operation objectives of the Irish Presidency of the European Union, to be taken at the conclusion of the Order of Business and to conclude not later than 12.30 p.m, with the contributions of spokespersons not to exceed 12 minutes, those of other Senators not to exceed ten minutes and the Minister to be called on to reply not later than five minutes before the conclusion of statements; No. 2, Electoral (Amendment) Bill 2004 — Report and Final Stages, to be taken at 2 p.m. and to conclude at 4 p.m.; and No. 18, motion No. 20, to be taken from 4 p.m. to 6 p.m. There will be a sos from 12.30 p.m. to 2 p.m.
#BrianHayes	unknown-#BrianHayes-party	unknown-#BrianHayes-dob	unknown-#BrianHayes-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	2	I congratulate the Government parties on their brass neck in proposing No. 18, motion No. 20. Even when the sun shines, it is thanks to Fianna Fáil.
#CamillusGlynn	unknown-#CamillusGlynn-party	unknown-#CamillusGlynn-dob	unknown-#CamillusGlynn-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	3	That is true.
#JohnDardis	unknown-#JohnDardis-party	unknown-#JohnDardis-dob	unknown-#JohnDardis-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	4	Leave us bask in the reflected glory.
#BrianHayes	unknown-#BrianHayes-party	unknown-#BrianHayes-dob	unknown-#BrianHayes-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	5	I assure them our amendment is equally robust.I wish to refer to a housekeeping matter. More than three weeks ago, the Committee on Procedure and Privileges reported on Seanad reform proposals. The Leader has done her best to ensure the Minister for the Environment, Heritage and Local Government comes to the House to reply to a debate on the proposals. However, if it is proving difficult——
#MaryORourke	unknown-#MaryORourke-party	unknown-#MaryORourke-dob	unknown-#MaryORourke-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	6	I have two dates about which I will inform the House later.
#BrianHayes	unknown-#BrianHayes-party	unknown-#BrianHayes-dob	unknown-#BrianHayes-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	7	I would be grateful to hear them. The matter should be debated, given that the report was published three weeks ago.It appears likely that AIB's initial estimate of the overcharging of its customers by €14 million was too low and the sum involved is much greater. This bank and others have been ripping off consumers for some time in terms of other charges. Does the Leader agree there is a need to review the regulatory structure that has been put in place and, in particular, to review the law in two areas? There is insufficient sanction for overcharging customers and the boardroom appears to be getting away absolutely scot free. There are no legal obligations on boards to ensure their actions comply with best practice and consumer law. The regulatory structure relating to financial institutions needs to be examined to ensure it is updated to take account of recent developments. Confidence in the banking sector has been sapped over the past few years and there is a need for a debate.There is also a need for the Government to bring forward its proposals on whistleblowing. Last Friday on the Order of Business, the Leader correctly stated the whistleblowers Bill has been hanging around for the past four years. An opportunity is available to bring it forward in this House to ensure employees are protected when they come forward with information such as this because it would not come into the public domain unless employees took a brave stance. They should be protected in law. Will the Leader, following discussions with her colleagues in Government, bring forward the Bill in this House, given that we have time on our hands to deal with primary legislation?
#JoeOToole	unknown-#JoeOToole-party	unknown-#JoeOToole-dob	unknown-#JoeOToole-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	8	I seek a ruling, a Chathaoirligh, regarding this evening's Private Members' motion, which asks us to reaffirm a key objective of Government policy. I am not sure whether, constitutionally or under Standing Orders, it is appropriate for the House to affirm the programme for Government, which is agreed between two parties. I do not know how the House can be brought into that matter. On a more pedantic point, we are being asked to reaffirm this objective. This must be an absolute misnomer because I do not recall the House taking a motion to reaffirm previously. The motion should be ruled out of order and I seek your advice in this regard, a Chathaoirligh.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	9	Hear, hear.
#JoeOToole	unknown-#JoeOToole-party	unknown-#JoeOToole-dob	unknown-#JoeOToole-constituency	speech	unkown-language	2004-05-12 00:00:00	Prelude	10	I have asked on many occasions that Government Private Members' motions should refrain from commending and congratulating members of the Government as it is difficult for Members to look at them through a clean lens. I have never seen such a sycophantic motion in all my time in the House. It opens up new areas. I defer to my colleague, Senator Norris, because I do not know whether there is such a word as "sycophanticism" but if there is not, it should be invented to describe the motion.
