RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	On a point of order, although the Member who asked the question is not present, Members who are present have tabled questions that may not be reached.  Can I ask that Members simply note the Minister's response and move on?
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	Perhaps Deputy O'Dea might consider some of the other Members who have questions on the Order Paper.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	As I have a later question that will not be reached, I will try to connect it to this question on the issue of retaining jobs as well as creating them.  Given they handed him a letter, the Minister will be familiar with the Connolly Shoes workers in Dun Laoghaire who were sacked, having been 17 months on strike, and who have now been found by the Employment Appeals Tribunal to have been unfairly dismissed.  One of the longest serving employees, Mr. John Mulpeter, after 38 years service has been sacked unfairly and will walk away with only €1,600 because the legislation allows employers to do this to people — it allows them to essentially concoct excuses to sack workers so they do not have to pay them off properly in terms of redundancy and pensions.  Legislation needs to be urgently brought in to prevent unscrupulous employers from sacking workers to avoid paying them moneys they are owed and their proper entitlements.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	The legislation is inadequate — that is the point.  He still walks away with virtually nothing even though the finding was in his favour.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	Does starving children help to incentivise work?
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	That is how the Taoiseach should do it.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	From different angles.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	Deputy Martin should know we also have questions to ask.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	I dispute strongly the Taoiseach's suggestion that all of the questions in this group are the same.  My questions, most of which he has not answered, are on a different planet from Deputy Martin's.  The Deputy is much more on the Taoiseach's planet than ours.  The direction from which our questions are coming is different.
RichardBoydBarrett	Deputy Richard Boyd Barrett	2011-03-09	None	Planet Reality.  I note the Minister cannot resist having a go whenever I speak.
