SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 1:
In page 5, line 2, to delete "2 years" and substitute "1 year".I am making the same arguments here as I did on Committee Stage.  Looking at the legislation in the main, it is about the transposition of a directive which was completed in 2006.  We have to look at the historical perspective and the fact that the directive was initiated as a result, in particular, of the Madrid bombings.  It was a counter-terrorism response relating to that period.  We are now in a situation where a number of years have past and we are moving towards the final transposition of that directive now.  Our view is that some of the provisions in the Bill are excessive, particularly in relation to the length of time for which data must be retained.The Minister of State's justification for the Government's position vis-à-vis the two-year retention period for telephony and the one-year retention period for Internet data is on the basis of security and counter-terrorism measures, as well as the detection of crime.  We in the Labour Party understand that rationale and would not argue against it.  In principle, we are not against the retention of data and believe that the directive must be transposed.  However, we take issue with the manner in which it is being transposed and the length of time for which data must be retained, particularly in relation to ISP and telephone records, because we believe this will place an undue burden on business and that the costs could be prohibitive and reduce any future comparative advantage Ireland might gain through the Internet and telecommunications sectors.I refer to the historical context of the transposition of a directive dating back to 2006 and any subsequent legislation enacted that has dealt with counter-terrorism or crime prevention measures more than adequately, including the Criminal Justice (Surveillance) Act and the recently passed Criminal Justice (Amendment) Act.  The Labour Party is examining the permutations of the Government's position, especially vis-à-vis the cost implication.  I submit that placing on Internet service providers, ISPs, and telephony companies an obligation to store data for two years would result in an undue cost burden and would not have an impact on crime prevention in real terms or in terms of detection.  I refer to the Minister’s submission on Committee Stage.  He stated that the 12 month detention period for Internet data is very much in the mainstream and this is significant because the Internet is a relatively new technology.  He further stated that it is accepted that the vast majority of disclosure requests which would arise as a result of the legislation relate to data less than three months old.If the requests for data are, to use the words of the Minister on Committee Stage, for data less than three months old, then I submit that the Labour Party amendment, which seeks to substitute two years for one year and one year for six months, would be in line with his thinking in respect to the prosecution of a crime or any investigation pertinent to committing a crime.  I further submit that if the legislation is passed and data is to be retained for two years hence, then on this day in two years time, that is, on 23 February or 24 February 2012, if someone were to be investigated for a crime then I suggest any telephone call made on today's date, the content of which is unknown, or if a person logged on to a website in the intervening period of one year hereafter, it would impact in no way on whether one could suitably detect that any such communication was pertinent to any crime committed.  The approach of the Government in terms of transposing the directive is that of a sledge-hammer being used to crack a nut.I reiterate that we are not against the principle of data storage.  We agree the directive must be transposed but we maintain the time periods are excessive and, contrary to the Minister's statement on Committee State to the effect that the legislation is in line with the mainstream, we believe it is against the European mainstream and that other countries have transposed the directive on the basis of time periods more in line with the proposal contained in the Labour Party amendment.
SeanSherlock	Deputy Seán Sherlock	None	I am aware of one Defence Forces member who missed his opportunity for promotion because his final medical examination could not take place for reasons beyond his control.  The former Minister for Defence was well aware of the case.  Given the Minister of State's response, perhaps the case could be re-examined.
SeanSherlock	Deputy Seán Sherlock	None	Article 6 of the directive allows for telephone and Internet data to be retained for a minimum of six months and a maximum of two years.  We all accept the principle of the retention of data and each state is at liberty to choose where on that scale it pitches its obligatory data retention provision.  The norm is as per the Labour Party position set down in these amendments.  There is no contradiction between being in favour of the principle of the retention of data and being against what the Government proposes.  If one puts an onus on Internet service providers and telephony companies to retain data, they must retain all Internet related traffic for a period of two years.  If one is investigating a crime, one cannot speak to the content of the data.  If I use my Gmail account to e-mail someone, who is subsequently charged with a crime, one can only state that correspondence took place between me and the other person but one does not have access to the content.  Why would one impose a cost beyond 12 months on a telephony company or an Internet service provider if one can merely deduce that communication took place without having access to the content?  Let us consider the examples of social networking sites such as Bebo, Facebook and Twitter and web-based e-mail accounts such as Hotmail.  The Minister of State cannot argue that this measure will not place a cost burden on these providers because every single piece of traffic must be stored somewhere.  I imagine the vast bulk of it will be stored outside the confines of the State because many of these Internet service providers are international companies and have specific storage facilities.  However, it will increase the cost burden for those who operate in Ireland, such as Irish companies with storage facilities here.  By increasing the cost burden, one must consider whether it will be pertinent to the solving of a crime thereafter.  The argument of the Labour Party is that it will not.On Committee Stage, the Minister of State commented:The significance of this is that Internet is a relatively new technology.  It is accepted that the vast majority of disclosure requests [the requests that will arise from the vested officers] are for data less than three months old.If the vast majority of disclosure requests are for data less than three months old, the position of the Labour Party is that the measure exceeds that which the Minister of State stated on Committee Stage.  That is the logic behind the two amendments we have tabled.
SeanSherlock	Deputy Seán Sherlock	None	Yes.  I move amendment No. 2:In page 5, line 3, to delete "one year" and substitute "6 months".
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 3:
In page 5, line 43, before ", shall" to insert the following:"or that are the subject of a request under section 6”.This amendment seeks to ensure that when a request is made it is dealt with immediately, which would strengthen the provisions of section 6.
SeanSherlock	Deputy Seán Sherlock	None	There is no need for me to elaborate further, and I intend to press the amendment.
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 4:
In page 6, lines 41 and 42, to delete "within 2 working days of the request being made" and substitute "forthwith".Again, this is rather a technical amendment.  I am seeking to ensure that there is a more immediate confirmation of an oral request.  When oral requests are made they should be done expeditiously and properly and, if this law is to be passed and disclosure requests are made, we want to ensure that the procedure is so tight, there can be no ambiguity as regards the processing such requests, so that this does not become subject to question thereafter in a court of law or by other means.  We want to ensure the procedure is watertight.
SeanSherlock	Deputy Seán Sherlock	None	I accept the Minister of State's response.
