SeanSherlock	 Chairman	2019-07-03T13:30:00+01:00	I thank members for providing a quorum. We will now go into private session.
SeanSherlock	 Chairman	2019-07-03T13:40:00+01:00	I propose that we dispense with some official business before we hear from our guests, who are very welcome.Before we commence, the usual provisos apply regarding the use of mobile phones. They need to be switched off or put on airplane mode. This meeting needs to adjourn at 4 p.m. to facilitate a meeting of another committee in this room. Petition No. P0003/17 is from Mr. Brian Houlihan. It is proposed that we forward a copy of the response, including submissions received from the Department of Agriculture, Food and the Marine, to the petitioner and close the petition. Is that agreed? Agreed.  Petition No. P00011/19 is from Mr. Ben Marren. It is proposed that we forward a copy of the response from the Department of Transport, Tourism and Sport be forwarded to the petitioner and close the petition. Is that agreed? Agreed.  On Petition No. P00014/19, it is proposed that we forward a copy of the response from the Departments of Communications, Climate Action and Environment and Business, Enterprise and Innovation to the petitioner and close the petition. Is that agreed? Agreed.  On Petition No. P00022/19, it is proposed that we forward a copy of the response from the Department of Justice and Equality and a copy of the report of the Joint Committee on Justice and Equality to the petitioner and close the petition. Is that agreed? Agreed. On Petition No. P00041/19, it is deemed that the petition is inadmissible in accordance with Standing Order 111C (1)(a), under which a petition is inadmissible if it requests the Dáil to do anything other than the Dáil has the power to do. Is that agreed? Agreed.
SeanSherlock	 Chairman	2019-07-03T13:50:00+01:00	Petition No. P00044/19 from Mr. Robert Ewing concerns a dispute over land ownership and subsequent court cases dating back to the 1980s. It is proposed that the committee deem the petition inadmissible in accordance with Standing Order 111C (1)(f) and correspond with the petitioner informing him that this petition is deemed inadmissible and returning the supporting documents. Is that agreed? Agreed.
SeanSherlock	 Chairman	2019-07-03T13:50:00+01:00	We will now deal with Petition No. P00036/18 from Mr. Paul Kavanagh, which is the subject of our public consultation today. I welcome the witnesses and the people in the Visitors Gallery. This petition concerns the Fermoy weir on the river Blackwater in County Cork. It states that the State has failed to adhere to the water framework directive and that the structures of the weir have deteriorated which, in turn, is affecting the safe migration of salmon and other species. This is the third time that the committee has considered this petition. In accordance with procedure, I am required to draw the attention of attendees to the fact that by virtue of section 17(2)(l) of the Defamation Act 2009, witnesses are protected by absolute privilege in respect of their evidence to the joint committee. However, if they are directed by it to cease giving evidence on a particular matter and continue to so do, they are entitled thereafter only to qualified privilege in respect of their evidence. They are directed that only evidence connected with the subject matter of these proceedings is to be given and asked to respect the parliamentary practice to the effect that, where possible, they should not criticise or make charges against any person or entity by name or in such a way as to make him, her or it identifiable. I wish to advise the witnesses that opening statements and any other documents submitted to the committee may be published on the committee's website after this meeting. Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the Houses or an official, either by name or in such a way as to make him, her or it identifiable. The opening statement and submissions from the witnesses have been circulated to members. I remind the witnesses that their presentations should not exceed ten minutes in duration but they may be shorter. The shorter the presentation, the more time there will be for a questions and answers session in order that we can shed some light on the issues at hand. I welcome Mr. Niall Healy and Mr. Kevin Morey from Cork County Council; Mr. Denis Maher, Department of Communications, Climate Action and Environment; Dr. Greg Forde, head of operations, Inland Fisheries Ireland; Mr John Sydenham and Mr. Ezra MacManamon, Office of Public Works; Ms Cliona O'Brien, wildlife inspector in the scientific unit, National Parks and Wildlife Service, NPWS; and Mr. Colin Byrne and Ms Deirdre Dunworth, Department of Housing, Planning and Local Government. I invite Mr. Niall Healy to make his opening statement.
SeanSherlock	 Chairman	2019-07-03T14:00:00+01:00	Does somebody have a phone on?
SeanSherlock	 Chairman	2019-07-03T14:00:00+01:00	I apologise, but there is definitely a phone on. It is impossible to record the proceedings if a phone is on. Will our guests check that all their phones are off?
SeanSherlock	 Chairman	2019-07-03T14:10:00+01:00	I thank Mr. Morey and Mr. Healy for their presentation. I invite Mr. Maher to make his opening statement. I understand it is a joint statement on behalf of the Department of Communications, Climate Action and Environment and Inland Fisheries Ireland.
SeanSherlock	 Chairman	2019-07-03T14:20:00+01:00	I thank Mr. Maher. I propose we hear from Mr. John Sydenham.
SeanSherlock	 Chairman	2019-07-03T14:30:00+01:00	I thank Mr. Sydenham. Mr. Byrne has the floor on behalf of the Department of Housing, Planning and Local Government.
SeanSherlock	 Chairman	2019-07-03T14:30:00+01:00	I thank Mr. Byrne. That concludes the presentations. Do members wish to pose questions? I call Deputy Buckley.
SeanSherlock	 Chairman	2019-07-03T14:40:00+01:00	Are the Deputy's questions directed at any of our guests in particular?
