SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 2:
In page 5, subsection (1), line 2, to delete "2 years" and substitute "1 year".I ask the Minister of State to set out the Government's rationale for introducing a two-year period for retaining data in the case of telephony and a one-year period in the case of Internet data.  I seek a clearer view of the Government's position in this matter before justifying my amendment.
SeanSherlock	Deputy Seán Sherlock	None	With respect, I asked the Minister to speak to my amendment in order that I could then respond.

SeanSherlock	Deputy Seán Sherlock	None	I presume that I am entitled to respond to the Government's justification for its position on the Bill.
SeanSherlock	Deputy Seán Sherlock	None	The Minister of State's justification for the Government's position, vis-à-vis the two-year retention period for telephony and the one-year retention period for Internet data, is on the basis of security and counter-terrorism measures.  I understand that rationale and no one would argue against it, but I take issue with the time periods.  That is the reason we have sought to have them reduced from two years to one and from one year to six months, respectively.  In the context of the transposition of a directive that dates back to 2006, one speaks to the historical context of that directive and also refers to any subsequent legislation enacted that has more than adequately dealt with counter-terrorism or crime prevention measures such as the Criminal Justice (Surveillance) Act.  I am looking at the permutations of the Government’s position vis-à-vis the cost to business.  I submit that placing on Internet service providers or telephony companies an obligation that they must store data for two years would result in an undue cost burden.  One will not have an impact in terms of crime prevention or detection if one has existing legislation on surveillance.The average period in Europe for the retention of data varies.  In France there is a one-year time period.  In Germany it is six months.  Holland, Luxembourg, the Czech Republic and Romania all favour a six-month period also.  We should be mindful of where we are coming from.  We are talking about the transposition of a directive, therefore, let us look at the historical perspective.  We must consider whether there is a necessity to have the periods at two years and one year, respectively.  I submit that there is not.  I ask the Government to examine the industry-wide position, which is significant because of the cost burden on business that will have an impact on Irish businesses, and also the average retention periods across the European Union.  All I ask is that the Minister of State look at that matter and report back on Report Stage.
SeanSherlock	Deputy Seán Sherlock	None	The period of retention applied with a view to protecting one's human rights could equally be shorter.  There is no restriction in this regard.  Nobody argues against the need to protect human rights.  I am not sure if the Minster of State understands my point.  If, for instance, one refers to the Internet as relatively new technology and considers all the various components, including social networking websites, and factors such as the number of e-mails one receives and the number of hits on websites, one will realise that, by extending the timeframe, one is building into the legislation a mechanism whereby Internet service providers and telephony companies will be subject to a cost burden.  Let me be clear that nobody argues against the principle of data storage.  My point on shorter timeframes in other member states is based on the fact that, if these states have shorter timeframes and ours is the longest allowable, we are putting ourselves at a comparative disadvantage relative to the other countries competing on an e-commerce platform with this country.  One must bear in mind an average person's Internet usage, including the number of websites visited and whether the person uses Bebo, Facebook, Twitter or other such websites.  If all the hits must be stored by the ISP, this imposes an undue cost on it.
SeanSherlock	Deputy Seán Sherlock	None	To finish my point, if it is to be proved that an individual visited a particular website or that a message was sent from person A to person B over the Internet, through Facebook or otherwise, one is imposing a cost on the ISP.  It is a question of competitiveness.  We have long since moved on from the directive in terms of the threat posed prior to its instigation.  The Government is now going too far down the line.  I do not argue this point from a civil liberties perspective but from an economic and cost to business perspective.  The ability of the Garda to investigate is already well met by existing surveillance legislation.  If one added a six-month or one-year period in regard to telephony and Internet access, it would be more than adequate.  Will the Minister of State reconsider this matter and revert to me on Report Stage?
SeanSherlock	Deputy Seán Sherlock	None	It is unrelated to the legislation.
SeanSherlock	Deputy Seán Sherlock	None	Chairman, may I——
SeanSherlock	Deputy Seán Sherlock	None	Let us revert to the amendment.
SeanSherlock	Deputy Seán Sherlock	None	If one takes that example——
SeanSherlock	Deputy Seán Sherlock	None	The Minister of State distinguished between the content and the storing of data.
SeanSherlock	Deputy Seán Sherlock	None	Let me finish the point, as I also wish to make that distinction.  The data must be stored.  I agree that the content of a message or e-mail is the subject of a different point.  I also agree that one must store data on the interaction or communication between two parties.  However, discussing a murder investigation is not realistic.  Thanks to the surveillance Act, I guarantee the Minister of State that his argument on this legislation will not prove valid.  Most of the information gleaned from communications via telephony will have been gleaned within a period of one year or six months.  The statistics will bear this out down the line.  There is a storage component.  The UK Government made a fund of £20 million available to Internet service providers and telephony companies for the same process.  The Government is going beyond what the UK Government did, despite the fact that the latter's position on the detection of crime is more sensitive in terms of the need for counter-terrorism measures.  We are trying to create a competitive environment for businesses.  Allowing for a period of one year would be reasonable.  Reducing it from two years would not impact negatively on the detection of crimes such as the one outlined by the Minister of State.  It was disingenuous of him to mention that case, as in doing so he deliberately sought to obscure the point of my amendment.
SeanSherlock	Deputy Seán Sherlock	None	I did not use the word "redundant".
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 3:
In page 5, subsection (1), line 3, to delete "one year" and substitute "6 months".
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 4:
